"","name","setCode","rarity"
"5932","Yavimaya Ants","ALL","uncommon"
"5933","Energy Arc","ALL","uncommon"
"5934","Lim-Dûl's Vault","ALL","uncommon"
"5935","Lim-Dûl's Paladin","ALL","uncommon"
"5936","Surge of Strength","ALL","uncommon"
"5937","Nature's Blessing","ALL","uncommon"
"5938","Wandering Mage","ALL","rare"
"5939","Lord of Tresserhorn","ALL","rare"
"5940","Misfortune","ALL","rare"
"5941","Winter's Night","ALL","rare"
"5942","Phelddagrif","ALL","rare"
"5943","Aesthir Glider","ALL","common"
"5944","Ashnod's Cylix","ALL","rare"
"5945","Astrolabe","ALL","common"
"5946","Floodwater Dam","ALL","rare"
"5947","Gustha's Scepter","ALL","rare"
"5948","Helm of Obedience","ALL","rare"
"5949","Lodestone Bauble","ALL","rare"
"5950","Mishra's Groundbreaker","ALL","uncommon"
"5951","Mystic Compass","ALL","uncommon"
"5952","Phyrexian Devourer","ALL","rare"
"5953","Phyrexian Portal","ALL","rare"
"5954","Phyrexian War Beast","ALL","common"
"5955","Scarab of the Unseen","ALL","uncommon"
"5956","Shield Sphere","ALL","uncommon"
"5957","Sol Grail","ALL","uncommon"
"5958","Soldevi Digger","ALL","rare"
"5959","Soldevi Sentry","ALL","common"
"5960","Soldevi Steam Beast","ALL","common"
"5961","Storm Cauldron","ALL","rare"
"5962","Urza's Engine","ALL","uncommon"
"5963","Whirling Catapult","ALL","uncommon"
"5964","Balduvian Trading Post","ALL","rare"
"5965","Heart of Yavimaya","ALL","rare"
"5966","Kjeldoran Outpost","ALL","rare"
"5967","Lake of the Dead","ALL","rare"
"5968","School of the Unseen","ALL","uncommon"
"5969","Sheltered Valley","ALL","rare"
"5970","Soldevi Excavations","ALL","rare"
"5971","Thawing Glaciers","ALL","rare"
"5972","Plains","ANA","common"
"5973","Island","ANA","common"
"5974","Swamp","ANA","common"
"5975","Mountain","ANA","common"
"5976","Forest","ANA","common"
"5977","Angel of Vitality","ANB","uncommon"
"5978","Angelic Guardian","ANB","rare"
"5979","Angelic Reward","ANB","uncommon"
"5980","Bond of Discipline","ANB","uncommon"
"5981","Charmed Stray","ANB","common"
"5982","Confront the Assault","ANB","uncommon"
"5983","Fencing Ace","ANB","common"
"5984","Goring Ceratops","ANB","rare"
"5985","Hallowed Priest","ANB","uncommon"
"5986","Impassioned Orator","ANB","common"
"5987","Inspiring Commander","ANB","rare"
"5988","Knight's Pledge","ANB","common"
"5989","Leonin Warleader","ANB","rare"
"5990","Loxodon Line Breaker","ANB","common"
"5991","Moorland Inquisitor","ANB","common"
"5992","Pacifism","ANB","common"
"5993","Sanctuary Cat","ANB","common"
"5994","Serra Angel","ANB","uncommon"
"5995","Shrine Keeper","ANB","common"
"5996","Soulmender","ANB","common"
"5997","Spiritual Guardian","ANB","common"
"5998","Tactical Advantage","ANB","common"
"5999","Air Elemental","ANB","uncommon"
"6000","Armored Whirl Turtle","ANB","common"
"6001","Cloudkin Seer","ANB","common"
"6002","Coral Merfolk","ANB","common"
"6003","Frilled Sea Serpent","ANB","common"
"6004","Glint","ANB","common"
"6005","Octoprophet","ANB","common"
"6006","Overflowing Insight","ANB","rare"
"6007","Riddlemaster Sphinx","ANB","rare"
"6008","River's Favor","ANB","common"
"6009","Sleep","ANB","uncommon"
"6010","Soulblade Djinn","ANB","rare"
"6011","Sworn Guardian","ANB","common"
"6012","Unsummon","ANB","common"
"6013","Wall of Runes","ANB","common"
"6014","Warden of Evos Isle","ANB","uncommon"
"6015","Waterkin Shaman","ANB","common"
"6016","Waterknot","ANB","common"
"6017","Windreader Sphinx","ANB","rare"
"6018","Windstorm Drake","ANB","uncommon"
"6019","Winged Words","ANB","common"
"6020","Zephyr Gull","ANB","common"
"6021","Bad Deal","ANB","uncommon"
"6022","Compound Fracture","ANB","common"
"6023","Cruel Cut","ANB","common"
"6024","Demon of Loathing","ANB","rare"
"6025","Eternal Thirst","ANB","uncommon"
"6026","Krovikan Scoundrel","ANB","common"
"6027","Malakir Cullblade","ANB","uncommon"
"6028","Mardu Outrider","ANB","rare"
"6029","Murder","ANB","uncommon"
"6030","Nightmare","ANB","rare"
"6031","Nimble Pilferer","ANB","common"
"6032","Raise Dead","ANB","common"
"6033","Sanitarium Skeleton","ANB","common"
"6034","Savage Gorger","ANB","common"
"6035","Scathe Zombies","ANB","common"
"6036","Sengir Vampire","ANB","uncommon"
"6037","Skeleton Archer","ANB","common"
"6038","Soulhunter Rakshasa","ANB","rare"
"6039","Typhoid Rats","ANB","common"
"6040","Unlikely Aid","ANB","common"
"6041","Vampire Opportunist","ANB","common"
"6042","Witch's Familiar","ANB","common"
"6043","Bombard","ANB","common"
"6044","Burn Bright","ANB","common"
"6045","Fearless Halberdier","ANB","common"
"6046","Goblin Gang Leader","ANB","uncommon"
"6047","Goblin Gathering","ANB","common"
"6048","Goblin Trashmaster","ANB","rare"
"6049","Goblin Tunneler","ANB","common"
"6050","Hurloon Minotaur","ANB","common"
"6051","Immortal Phoenix","ANB","rare"
"6052","Inescapable Blaze","ANB","uncommon"
"6053","Maniacal Rage","ANB","common"
"6054","Molten Ravager","ANB","common"
"6055","Nest Robber","ANB","common"
"6056","Ogre Battledriver","ANB","rare"
"6057","Raging Goblin","ANB","common"
"6058","Raid Bombardment","ANB","uncommon"
"6059","Reduce to Ashes","ANB","common"
"6060","Shock","ANB","common"
"6061","Siege Dragon","ANB","rare"
"6062","Storm Strike","ANB","common"
"6063","Tin Street Cadet","ANB","common"
"6064","Volcanic Dragon","ANB","uncommon"
"6065","Affectionate Indrik","ANB","uncommon"
"6066","Baloth Packhunter","ANB","common"
"6067","Charging Badger","ANB","common"
"6068","Colossal Majesty","ANB","uncommon"
"6069","Epic Proportions","ANB","rare"
"6070","Feral Roar","ANB","common"
"6071","Generous Stray","ANB","common"
"6072","Gigantosaurus","ANB","rare"
"6073","Greenwood Sentinel","ANB","common"
"6074","Ilysian Caryatid","ANB","common"
"6075","Jungle Delver","ANB","common"
"6076","Prized Unicorn","ANB","uncommon"
"6077","Rabid Bite","ANB","common"
"6078","Rampaging Brontodon","ANB","rare"
"6079","Rumbling Baloth","ANB","common"
"6080","Sentinel Spider","ANB","uncommon"
"6081","Stony Strength","ANB","common"
"6082","Titanic Growth","ANB","common"
"6083","Treetop Warden","ANB","common"
"6084","Wildwood Patrol","ANB","common"
"6085","Woodland Mystic","ANB","common"
"6086","World Shaper","ANB","rare"
"6087","Evolving Wilds","ANB","common"
"6088","Forest","ANB","common"
"6089","Island","ANB","common"
"6090","Mountain","ANB","common"
"6091","Plains","ANB","common"
"6092","Swamp","ANB","common"
"6093","Angelfire Crusader","APC","common"
"6094","Coalition Flag","APC","uncommon"
"6095","Coalition Honor Guard","APC","common"
"6096","Dega Disciple","APC","common"
"6097","Dega Sanctuary","APC","uncommon"
"6098","Degavolver","APC","rare"
"6099","Diversionary Tactics","APC","uncommon"
"6100","Divine Light","APC","common"
"6101","Enlistment Officer","APC","uncommon"
"6102","False Dawn","APC","rare"
"6103","Gerrard Capashen","APC","rare"
"6104","Haunted Angel","APC","uncommon"
"6105","Helionaut","APC","common"
"6106","Manacles of Decay","APC","common"
"6107","Orim's Thunder","APC","common"
"6108","Shield of Duty and Reason","APC","common"
"6109","Spectral Lynx","APC","rare"
"6110","Standard Bearer","APC","common"
"6111","Ceta Disciple","APC","common"
"6112","Ceta Sanctuary","APC","uncommon"
"6113","Cetavolver","APC","rare"
"6114","Coastal Drake","APC","common"
"6115","Evasive Action","APC","uncommon"
"6116","Ice Cave","APC","rare"
"6117","Index","APC","common"
"6118","Jaded Response","APC","common"
"6119","Jilt","APC","common"
"6120","Living Airship","APC","common"
"6121","Reef Shaman","APC","common"
"6122","Shimmering Mirage","APC","common"
"6123","Tidal Courier","APC","uncommon"
"6124","Unnatural Selection","APC","rare"
"6125","Vodalian Mystic","APC","uncommon"
"6126","Whirlpool Drake","APC","uncommon"
"6127","Whirlpool Rider","APC","common"
"6128","Whirlpool Warrior","APC","rare"
"6129","Dead Ringers","APC","common"
"6130","Desolation Angel","APC","rare"
"6131","Foul Presence","APC","uncommon"
"6132","Grave Defiler","APC","uncommon"
"6133","Last Caress","APC","common"
"6134","Mind Extraction","APC","common"
"6135","Mournful Zombie","APC","common"
"6136","Necra Disciple","APC","common"
"6137","Necra Sanctuary","APC","uncommon"
"6138","Necravolver","APC","rare"
"6139","Phyrexian Arena","APC","rare"
"6140","Phyrexian Gargantua","APC","uncommon"
"6141","Phyrexian Rager","APC","common"
"6142","Planar Despair","APC","rare"
"6143","Quagmire Druid","APC","common"
"6144","Suppress","APC","uncommon"
"6145","Urborg Uprising","APC","common"
"6146","Zombie Boa","APC","common"
"6147","Bloodfire Colossus","APC","rare"
"6148","Bloodfire Dwarf","APC","common"
"6149","Bloodfire Infusion","APC","common"
"6150","Bloodfire Kavu","APC","uncommon"
"6151","Desolation Giant","APC","rare"
"6152","Dwarven Landslide","APC","common"
"6153","Dwarven Patrol","APC","uncommon"
"6154","Goblin Ringleader","APC","uncommon"
"6155","Illuminate","APC","uncommon"
"6156","Kavu Glider","APC","common"
"6157","Minotaur Tactician","APC","common"
"6158","Raka Disciple","APC","common"
"6159","Raka Sanctuary","APC","uncommon"
"6160","Rakavolver","APC","rare"
"6161","Smash","APC","common"
"6162","Tahngarth's Glare","APC","common"
"6163","Tundra Kavu","APC","common"
"6164","Wild Research","APC","rare"
"6165","Ana Disciple","APC","common"
"6166","Ana Sanctuary","APC","uncommon"
"6167","Anavolver","APC","rare"
"6168","Bog Gnarr","APC","common"
"6169","Gaea's Balance","APC","uncommon"
"6170","Glade Gnarr","APC","common"
"6171","Kavu Howler","APC","uncommon"
"6172","Kavu Mauler","APC","rare"
"6173","Lay of the Land","APC","common"
"6174","Penumbra Bobcat","APC","common"
"6175","Penumbra Kavu","APC","uncommon"
"6176","Penumbra Wurm","APC","rare"
"6177","Savage Gorilla","APC","common"
"6178","Strength of Night","APC","common"
"6179","Sylvan Messenger","APC","uncommon"
"6180","Symbiotic Deployment","APC","rare"
"6181","Tranquil Path","APC","common"
"6182","Urborg Elf","APC","common"
"6183","Aether Mutation","APC","uncommon"
"6184","Captain's Maneuver","APC","uncommon"
"6185","Consume Strength","APC","common"
"6186","Cromat","APC","rare"
"6187","Death Grasp","APC","rare"
"6188","Death Mutation","APC","uncommon"
"6189","Ebony Treefolk","APC","uncommon"
"6190","Fervent Charge","APC","rare"
"6191","Flowstone Charger","APC","uncommon"
"6192","Fungal Shambler","APC","rare"
"6193","Gaea's Skyfolk","APC","common"
"6194","Gerrard's Verdict","APC","uncommon"
"6195","Goblin Legionnaire","APC","common"
"6196","Goblin Trenches","APC","rare"
"6197","Guided Passage","APC","rare"
"6198","Jungle Barrier","APC","uncommon"
"6199","Last Stand","APC","rare"
"6200","Lightning Angel","APC","rare"
"6201","Llanowar Dead","APC","common"
"6202","Martyrs' Tomb","APC","uncommon"
"6203","Minotaur Illusionist","APC","uncommon"
"6204","Mystic Snake","APC","rare"
"6205","Overgrown Estate","APC","rare"
"6206","Pernicious Deed","APC","rare"
"6207","Powerstone Minefield","APC","rare"
"6208","Prophetic Bolt","APC","rare"
"6209","Putrid Warrior","APC","common"
"6210","Quicksilver Dagger","APC","common"
"6211","Razorfin Hunter","APC","common"
"6212","Soul Link","APC","common"
"6213","Spiritmonger","APC","rare"
"6214","Squee's Embrace","APC","common"
"6215","Squee's Revenge","APC","uncommon"
"6216","Suffocating Blast","APC","rare"
"6217","Temporal Spring","APC","common"
"6218","Vindicate","APC","rare"
"6219","Yavimaya's Embrace","APC","rare"
"6220","Fire // Ice","APC","uncommon"
"6221","Illusion // Reality","APC","uncommon"
"6222","Life // Death","APC","uncommon"
"6223","Night // Day","APC","uncommon"
"6224","Order // Chaos","APC","uncommon"
"6225","Brass Herald","APC","uncommon"
"6226","Dodecapod","APC","uncommon"
"6227","Dragon Arch","APC","uncommon"
"6228","Emblazoned Golem","APC","uncommon"
"6229","Legacy Weapon","APC","rare"
"6230","Mask of Intolerance","APC","rare"
"6231","Battlefield Forge","APC","rare"
"6232","Caves of Koilos","APC","rare"
"6233","Llanowar Wastes","APC","rare"
"6234","Shivan Reef","APC","rare"
"6235","Yavimaya Coast","APC","rare"
"6236","Ardent Plea","ARB","uncommon"
"6237","Aven Mimeomancer","ARB","rare"
"6238","Ethercaste Knight","ARB","common"
"6239","Ethersworn Shieldmage","ARB","common"
"6240","Fieldmist Borderpost","ARB","common"
"6241","Filigree Angel","ARB","rare"
"6242","Glassdust Hulk","ARB","common"
"6243","Meddling Mage","ARB","rare"
"6244","Offering to Asha","ARB","common"
"6245","Sanctum Plowbeast","ARB","common"
"6246","Shield of the Righteous","ARB","uncommon"
"6247","Sovereigns of Lost Alara","ARB","rare"
"6248","Stormcaller's Boon","ARB","common"
"6249","Talon Trooper","ARB","common"
"6250","Unbender Tine","ARB","uncommon"
"6251","Wall of Denial","ARB","uncommon"
"6252","Architects of Will","ARB","common"
"6253","Brainbite","ARB","common"
"6254","Deny Reality","ARB","common"
"6255","Etherium Abomination","ARB","common"
"6256","Illusory Demon","ARB","uncommon"
"6257","Jhessian Zombies","ARB","common"
"6258","Kathari Remnant","ARB","uncommon"
"6259","Lich Lord of Unx","ARB","rare"
"6260","Mask of Riddles","ARB","uncommon"
"6261","Mind Funeral","ARB","uncommon"
"6262","Mistvein Borderpost","ARB","common"
"6263","Nemesis of Reason","ARB","rare"
"6264","Soul Manipulation","ARB","common"
"6265","Soulquake","ARB","rare"
"6266","Time Sieve","ARB","rare"
"6267","Vedalken Ghoul","ARB","common"
"6268","Anathemancer","ARB","uncommon"
"6269","Bituminous Blast","ARB","uncommon"
"6270","Breath of Malfegor","ARB","common"
"6271","Deathbringer Thoctar","ARB","rare"
"6272","Defiler of Souls","ARB","mythic"
"6273","Demonic Dread","ARB","common"
"6274","Demonspine Whip","ARB","uncommon"
"6275","Igneous Pouncer","ARB","common"
"6276","Kathari Bomber","ARB","common"
"6277","Lightning Reaver","ARB","rare"
"6278","Monstrous Carabid","ARB","common"
"6279","Sanity Gnawers","ARB","uncommon"
"6280","Singe-Mind Ogre","ARB","common"
"6281","Terminate","ARB","common"
"6282","Thought Hemorrhage","ARB","rare"
"6283","Veinfire Borderpost","ARB","common"
"6284","Blitz Hellion","ARB","rare"
"6285","Bloodbraid Elf","ARB","uncommon"
"6286","Colossal Might","ARB","common"
"6287","Deadshot Minotaur","ARB","common"
"6288","Dragon Broodmother","ARB","mythic"
"6289","Firewild Borderpost","ARB","common"
"6290","Godtracker of Jund","ARB","common"
"6291","Gorger Wurm","ARB","common"
"6292","Mage Slayer","ARB","uncommon"
"6293","Predatory Advantage","ARB","rare"
"6294","Rhox Brute","ARB","common"
"6295","Spellbreaker Behemoth","ARB","rare"
"6296","Valley Rannet","ARB","common"
"6297","Vengeful Rebirth","ARB","uncommon"
"6298","Violent Outburst","ARB","common"
"6299","Vithian Renegades","ARB","uncommon"
"6300","Behemoth Sledge","ARB","uncommon"
"6301","Captured Sunlight","ARB","common"
"6302","Dauntless Escort","ARB","rare"
"6303","Enlisted Wurm","ARB","uncommon"
"6304","Grizzled Leotau","ARB","common"
"6305","Knight of New Alara","ARB","rare"
"6306","Knotvine Paladin","ARB","rare"
"6307","Leonin Armorguard","ARB","common"
"6308","Mycoid Shepherd","ARB","rare"
"6309","Pale Recluse","ARB","common"
"6310","Qasali Pridemage","ARB","common"
"6311","Reborn Hope","ARB","uncommon"
"6312","Sigil Captain","ARB","uncommon"
"6313","Sigil of the Nayan Gods","ARB","common"
"6314","Sigiled Behemoth","ARB","common"
"6315","Wildfield Borderpost","ARB","common"
"6316","Identity Crisis","ARB","rare"
"6317","Necromancer's Covenant","ARB","rare"
"6318","Tainted Sigil","ARB","uncommon"
"6319","Vectis Dominator","ARB","common"
"6320","Zealous Persecution","ARB","uncommon"
"6321","Cloven Casting","ARB","rare"
"6322","Double Negative","ARB","uncommon"
"6323","Magefire Wings","ARB","common"
"6324","Skyclaw Thrash","ARB","uncommon"
"6325","Spellbound Dragon","ARB","rare"
"6326","Lord of Extinction","ARB","mythic"
"6327","Maelstrom Pulse","ARB","rare"
"6328","Marrow Chomper","ARB","uncommon"
"6329","Morbid Bloom","ARB","uncommon"
"6330","Putrid Leech","ARB","common"
"6331","Cerodon Yearling","ARB","common"
"6332","Fight to the Death","ARB","rare"
"6333","Glory of Warfare","ARB","rare"
"6334","Intimidation Bolt","ARB","uncommon"
"6335","Stun Sniper","ARB","uncommon"
"6336","Lorescale Coatl","ARB","uncommon"
"6337","Nulltread Gargantuan","ARB","uncommon"
"6338","Sages of the Anima","ARB","rare"
"6339","Vedalken Heretic","ARB","rare"
"6340","Winged Coatl","ARB","common"
"6341","Enigma Sphinx","ARB","rare"
"6342","Esper Sojourners","ARB","common"
"6343","Etherwrought Page","ARB","uncommon"
"6344","Sen Triplets","ARB","mythic"
"6345","Sphinx of the Steel Wind","ARB","mythic"
"6346","Drastic Revelation","ARB","uncommon"
"6347","Grixis Sojourners","ARB","common"
"6348","Thraximundar","ARB","mythic"
"6349","Unscythe, Killer of Kings","ARB","rare"
"6350","Dragon Appeasement","ARB","uncommon"
"6351","Jund Sojourners","ARB","common"
"6352","Karrthus, Tyrant of Jund","ARB","mythic"
"6353","Lavalanche","ARB","rare"
"6354","Madrush Cyclops","ARB","rare"
"6355","Gloryscale Viashino","ARB","uncommon"
"6356","Mayael's Aria","ARB","rare"
"6357","Naya Sojourners","ARB","common"
"6358","Retaliator Griffin","ARB","rare"
"6359","Uril, the Miststalker","ARB","mythic"
"6360","Bant Sojourners","ARB","common"
"6361","Finest Hour","ARB","rare"
"6362","Flurry of Wings","ARB","uncommon"
"6363","Jenara, Asura of War","ARB","mythic"
"6364","Wargate","ARB","rare"
"6365","Maelstrom Nexus","ARB","mythic"
"6366","Arsenal Thresher","ARB","common"
"6367","Esper Stormblade","ARB","common"
"6368","Thopter Foundry","ARB","uncommon"
"6369","Grixis Grimblade","ARB","common"
"6370","Sewn-Eye Drake","ARB","common"
"6371","Slave of Bolas","ARB","uncommon"
"6372","Giant Ambush Beetle","ARB","uncommon"
"6373","Jund Hackblade","ARB","common"
"6374","Sangrite Backlash","ARB","common"
"6375","Marisi's Twinclaws","ARB","uncommon"
"6376","Naya Hushblade","ARB","common"
"6377","Trace of Abundance","ARB","common"
"6378","Bant Sureblade","ARB","common"
"6379","Crystallization","ARB","common"
"6380","Messenger Falcons","ARB","uncommon"
"6381","Leonin Abunas","ARC","rare"
"6382","Metallurgeon","ARC","uncommon"
"6383","Oblivion Ring","ARC","common"
"6384","Path to Exile","ARC","uncommon"
"6385","Sanctum Gargoyle","ARC","common"
"6386","March of the Machines","ARC","rare"
"6387","Master Transmuter","ARC","rare"
"6388","Spin into Myth","ARC","uncommon"
"6389","Avatar of Woe","ARC","rare"
"6390","Beacon of Unrest","ARC","rare"
"6391","Bog Witch","ARC","common"
"6392","Cemetery Reaper","ARC","rare"
"6393","Corpse Connoisseur","ARC","uncommon"
"6394","Dregscape Zombie","ARC","common"
"6395","Extractor Demon","ARC","rare"
"6396","Festering Goblin","ARC","common"
"6397","Incremental Blight","ARC","uncommon"
"6398","Infectious Horror","ARC","common"
"6399","Infest","ARC","uncommon"
"6400","Makeshift Mannequin","ARC","uncommon"
"6401","Reanimate","ARC","uncommon"
"6402","Reassembling Skeleton","ARC","uncommon"
"6403","Scion of Darkness","ARC","rare"
"6404","Shriekmaw","ARC","uncommon"
"6405","Sign in Blood","ARC","common"
"6406","Twisted Abomination","ARC","common"
"6407","Urborg Syphon-Mage","ARC","common"
"6408","Zombie Infestation","ARC","uncommon"
"6409","Zombify","ARC","uncommon"
"6410","Battering Craghorn","ARC","common"
"6411","Breath of Darigaaz","ARC","uncommon"
"6412","Chandra's Outrage","ARC","common"
"6413","Dragon Breath","ARC","common"
"6414","Dragon Fodder","ARC","common"
"6415","Dragon Whelp","ARC","uncommon"
"6416","Dragonspeaker Shaman","ARC","uncommon"
"6417","Fireball","ARC","uncommon"
"6418","Flameblast Dragon","ARC","rare"
"6419","Furnace Whelp","ARC","uncommon"
"6420","Gathan Raiders","ARC","common"
"6421","Hellkite Charger","ARC","rare"
"6422","Imperial Hellkite","ARC","rare"
"6423","Inferno Trap","ARC","uncommon"
"6424","Kilnmouth Dragon","ARC","rare"
"6425","Ryusei, the Falling Star","ARC","rare"
"6426","Seething Song","ARC","common"
"6427","Skirk Commando","ARC","common"
"6428","Skirk Marauder","ARC","common"
"6429","Taurean Mauler","ARC","rare"
"6430","Two-Headed Dragon","ARC","rare"
"6431","Volcanic Fallout","ARC","uncommon"
"6432","Chameleon Colossus","ARC","rare"
"6433","Feral Hydra","ARC","rare"
"6434","Fertilid","ARC","common"
"6435","Fierce Empath","ARC","common"
"6436","Fog","ARC","common"
"6437","Forgotten Ancient","ARC","rare"
"6438","Gleeful Sabotage","ARC","common"
"6439","Harmonize","ARC","uncommon"
"6440","Hunting Moa","ARC","uncommon"
"6441","Kamahl, Fist of Krosa","ARC","rare"
"6442","Krosan Tusker","ARC","common"
"6443","Leaf Gilder","ARC","common"
"6444","Molimo, Maro-Sorcerer","ARC","rare"
"6445","Plummet","ARC","common"
"6446","Primal Command","ARC","rare"
"6447","Rancor","ARC","common"
"6448","Sakura-Tribe Elder","ARC","common"
"6449","Shinen of Life's Roar","ARC","common"
"6450","Spider Umbra","ARC","common"
"6451","Thelonite Hermit","ARC","rare"
"6452","Verdeloth the Ancient","ARC","rare"
"6453","Wall of Roots","ARC","common"
"6454","Wickerbough Elder","ARC","common"
"6455","Yavimaya Dryad","ARC","uncommon"
"6456","Agony Warp","ARC","common"
"6457","Architects of Will","ARC","common"
"6458","Armadillo Cloak","ARC","common"
"6459","Avatar of Discord","ARC","rare"
"6460","Batwing Brume","ARC","uncommon"
"6461","Bituminous Blast","ARC","uncommon"
"6462","Branching Bolt","ARC","common"
"6463","Colossal Might","ARC","common"
"6464","Ethersworn Shieldmage","ARC","common"
"6465","Fieldmist Borderpost","ARC","common"
"6466","Fires of Yavimaya","ARC","uncommon"
"6467","Heroes' Reunion","ARC","uncommon"
"6468","Kaervek the Merciless","ARC","rare"
"6469","Magister Sphinx","ARC","rare"
"6470","Mistvein Borderpost","ARC","common"
"6471","Pale Recluse","ARC","common"
"6472","Rakdos Guildmage","ARC","uncommon"
"6473","Savage Twister","ARC","uncommon"
"6474","Selesnya Guildmage","ARC","uncommon"
"6475","Terminate","ARC","common"
"6476","Torrent of Souls","ARC","uncommon"
"6477","Unbender Tine","ARC","uncommon"
"6478","Unmake","ARC","common"
"6479","Vampiric Dragon","ARC","rare"
"6480","Watchwolf","ARC","uncommon"
"6481","Wax // Wane","ARC","uncommon"
"6482","Aether Spellbomb","ARC","common"
"6483","Azorius Signet","ARC","common"
"6484","Dimir Signet","ARC","common"
"6485","Dreamstone Hedron","ARC","uncommon"
"6486","Duplicant","ARC","rare"
"6487","Everflowing Chalice","ARC","uncommon"
"6488","Gruul Signet","ARC","common"
"6489","Juggernaut","ARC","uncommon"
"6490","Lightning Greaves","ARC","uncommon"
"6491","Lodestone Golem","ARC","rare"
"6492","Memnarch","ARC","rare"
"6493","Obelisk of Esper","ARC","common"
"6494","Rakdos Signet","ARC","common"
"6495","Skullcage","ARC","uncommon"
"6496","Sorcerer's Strongbox","ARC","uncommon"
"6497","Sun Droplet","ARC","uncommon"
"6498","Sundering Titan","ARC","rare"
"6499","Synod Centurion","ARC","uncommon"
"6500","Synod Sanctum","ARC","uncommon"
"6501","Thran Dynamo","ARC","uncommon"
"6502","Thunderstaff","ARC","uncommon"
"6503","Artisan of Kozilek","ARC","uncommon"
"6504","Barren Moor","ARC","common"
"6505","Graypelt Refuge","ARC","uncommon"
"6506","Kazandu Refuge","ARC","uncommon"
"6507","Khalni Garden","ARC","common"
"6508","Krosan Verge","ARC","uncommon"
"6509","Llanowar Reborn","ARC","uncommon"
"6510","Mosswort Bridge","ARC","rare"
"6511","Nantuko Monastery","ARC","uncommon"
"6512","Rakdos Carnarium","ARC","common"
"6513","Secluded Steppe","ARC","common"
"6514","Terramorphic Expanse","ARC","common"
"6515","Tranquil Thicket","ARC","common"
"6516","Vitu-Ghazi, the City-Tree","ARC","uncommon"
"6517","Plains","ARC","common"
"6518","Island","ARC","common"
"6519","Swamp","ARC","common"
"6520","Mountain","ARC","common"
"6521","Forest","ARC","common"
"6522","Abu Ja'far","ARN","uncommon"
"6523","Army of Allah","ARN","common"
"6524","Camel","ARN","common"
"6525","Eye for an Eye","ARN","uncommon"
"6526","Jihad","ARN","rare"
"6527","King Suleiman","ARN","rare"
"6528","Moorish Cavalry","ARN","common"
"6529","Piety","ARN","common"
"6530","Repentant Blacksmith","ARN","rare"
"6531","Shahrazad","ARN","rare"
"6532","War Elephant","ARN","common"
"6533","Dandân","ARN","common"
"6534","Fishliver Oil","ARN","common"
"6535","Flying Men","ARN","common"
"6536","Giant Tortoise","ARN","common"
"6537","Island Fish Jasconius","ARN","rare"
"6538","Merchant Ship","ARN","uncommon"
"6539","Old Man of the Sea","ARN","rare"
"6540","Serendib Djinn","ARN","rare"
"6541","Serendib Efreet","ARN","rare"
"6542","Sindbad","ARN","uncommon"
"6543","Unstable Mutation","ARN","common"
"6544","Cuombajj Witches","ARN","common"
"6545","El-Hajjâj","ARN","rare"
"6546","Erg Raiders","ARN","common"
"6547","Guardian Beast","ARN","rare"
"6548","Hasran Ogress","ARN","common"
"6549","Junún Efreet","ARN","rare"
"6550","Juzám Djinn","ARN","rare"
"6551","Khabál Ghoul","ARN","uncommon"
"6552","Oubliette","ARN","common"
"6553","Sorceress Queen","ARN","uncommon"
"6554","Stone-Throwing Devils","ARN","common"
"6555","Aladdin","ARN","rare"
"6556","Ali Baba","ARN","uncommon"
"6557","Ali from Cairo","ARN","rare"
"6558","Bird Maiden","ARN","common"
"6559","Desert Nomads","ARN","common"
"6560","Hurr Jackal","ARN","common"
"6561","Kird Ape","ARN","common"
"6562","Magnetic Mountain","ARN","uncommon"
"6563","Mijae Djinn","ARN","rare"
"6564","Rukh Egg","ARN","common"
"6565","Ydwen Efreet","ARN","rare"
"6566","Cyclone","ARN","uncommon"
"6567","Desert Twister","ARN","uncommon"
"6568","Drop of Honey","ARN","rare"
"6569","Erhnam Djinn","ARN","rare"
"6570","Ghazbán Ogre","ARN","common"
"6571","Ifh-Bíff Efreet","ARN","rare"
"6572","Metamorphosis","ARN","common"
"6573","Nafs Asp","ARN","common"
"6574","Sandstorm","ARN","common"
"6575","Singing Tree","ARN","rare"
"6576","Wyluli Wolf","ARN","common"
"6577","Aladdin's Lamp","ARN","rare"
"6578","Aladdin's Ring","ARN","rare"
"6579","Bottle of Suleiman","ARN","rare"
"6580","Brass Man","ARN","uncommon"
"6581","City in a Bottle","ARN","rare"
"6582","Dancing Scimitar","ARN","rare"
"6583","Ebony Horse","ARN","rare"
"6584","Flying Carpet","ARN","uncommon"
"6585","Jandor's Ring","ARN","rare"
"6586","Jandor's Saddlebags","ARN","rare"
"6587","Jeweled Bird","ARN","uncommon"
"6588","Pyramids","ARN","rare"
"6589","Ring of Ma'rûf","ARN","rare"
"6590","Sandals of Abdallah","ARN","uncommon"
"6591","Bazaar of Baghdad","ARN","uncommon"
"6592","City of Brass","ARN","uncommon"
"6593","Desert","ARN","common"
"6594","Diamond Valley","ARN","rare"
"6595","Elephant Graveyard","ARN","rare"
"6596","Island of Wak-Wak","ARN","rare"
"6597","Library of Alexandria","ARN","uncommon"
"6598","Mountain","ARN","common"
"6599","Oasis","ARN","uncommon"
"6600","Armageddon","ATH","rare"
"6601","Armored Pegasus","ATH","common"
"6602","Benalish Knight","ATH","common"
"6603","Combat Medic","ATH","common"
"6604","Disenchant","ATH","common"
