,Name,Rarity,Quantity,Price,Language,Finish,Condition,Expansion
2082,EVERFLOWING CHALICE,UNCOMMON,4.0,0.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2083,EXPEDITION MAP,UNCOMMON,3.0,3.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2084,EXPEDITION MAP,UNCOMMON,1.0,1.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2085,EYE OF UGIN,RARE,1.0,14.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2086,FULMINATOR MAGE,RARE,2.0,5.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2087,KARN LIBERATED,MYTHIC,1.0,34.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2088,KARN LIBERATED,MYTHIC,8.0,31.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2089,"KIKI-JIKI, MIRROR BREAKER",MYTHIC,1.0,14.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2090,"KOZILEK, BUTCHER OF TRUTH",MYTHIC,3.0,89.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2091,LIGHTNING BOLT,UNCOMMON,3.0,6.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2092,LIGHTNING BOLT,UNCOMMON,1.0,3.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2093,MANA LEAK,COMMON,2.0,2.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2094,MIRRAN CRUSADER,RARE,1.0,3.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2095,MIRRAN CRUSADER,RARE,4.0,1.79,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2096,MIRROR ENTITY,RARE,3.0,2.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2097,MOX OPAL,MYTHIC,4.0,72.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2098,MUTAGENIC GROWTH,UNCOMMON,2.0,1.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2099,NOBLE HIERARCH,RARE,2.0,17.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2100,OVERWHELMING STAMPEDE,RARE,1.0,3.79,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2101,PRIMEVAL TITAN,MYTHIC,7.0,8.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2102,PROFANE COMMAND,RARE,2.0,0.33,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2103,REMAND,UNCOMMON,3.0,7.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2104,REMAND,UNCOMMON,3.0,2.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2105,SPELLSKITE,RARE,3.0,5.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2106,SPLINTER TWIN,RARE,3.0,9.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2107,SUNFORGER,RARE,6.0,1.79,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2108,SURGICAL EXTRACTION,RARE,6.0,20.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2109,SWANS OF BRYN ARGOLL,RARE,2.0,2.49,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2110,SWANS OF BRYN ARGOLL,RARE,3.0,0.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2111,"ULAMOG, THE INFINITE GYRE",MYTHIC,2.0,68.88,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2112,VAPOR SNAG,COMMON,2.0,0.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2113,VENDILION CLIQUE,MYTHIC,2.0,11.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2114,VENDILION CLIQUE,MYTHIC,7.0,8.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS 2015
2115,WAYFARERS BAUBLE,COMMON,2.0,4.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS 2015
2122,AETHER VIAL,RARE,8.0,27.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2123,AETHER VIAL,RARE,1.0,69.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2124,ARCBOUND RAVAGER,RARE,7.0,17.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2125,ARCBOUND RAVAGER,RARE,4.0,29.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2126,BLOOD MOON,RARE,5.0,16.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2127,BRIDGE FROM BELOW,RARE,2.0,7.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2128,CHALICE OF THE VOID,RARE,1.0,69.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2129,CHALICE OF THE VOID,RARE,4.0,96.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2130,CITY OF BRASS,RARE,1.0,24.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2131,DARK CONFIDANT,MYTHIC,4.0,34.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2132,DEATH CLOUD,RARE,8.0,6.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2133,DIVINITY OF PRIDE,RARE,2.0,7.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2134,DOUBLING SEASON,RARE,1.0,79.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2135,EPOCHRASITE,UNCOMMON,1.0,1.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2136,EXTIRPATE,RARE,1.0,4.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2137,FAERIE MACABRE,COMMON,1.0,3.49,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2138,GLEN ELENDRA ARCHMAGE,RARE,4.0,9.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2139,GLIMMERVOID,RARE,5.0,6.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2140,GRAPESHOT,COMMON,3.0,0.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2141,GREATER GARGADON,RARE,4.0,0.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2142,GREATER GARGADON,RARE,1.0,3.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2143,"KATAKI, WAR'S WAGE",RARE,3.0,5.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2144,"KIKI-JIKI, MIRROR BREAKER",MYTHIC,3.0,45.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2145,"KIRA, GREAT GLASS-SPINNER",RARE,1.0,11.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2146,KNIGHT OF THE RELIQUARY,RARE,7.0,1.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2147,KNIGHT OF THE RELIQUARY,RARE,1.0,5.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2148,"KOKUSHO, THE EVENING STAR",MYTHIC,3.0,22.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2149,KROSAN GRIP,UNCOMMON,8.0,0.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2150,KROSAN GRIP,UNCOMMON,2.0,4.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2151,LIFE FROM THE LOAM,RARE,1.0,18.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2152,LIGHTNING HELIX,UNCOMMON,5.0,0.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2153,LOTUS BLOOM,RARE,1.0,3.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2154,MAELSTROM PULSE,RARE,2.0,3.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2155,MANAMORPHOSE,UNCOMMON,1.0,7.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2156,MIND FUNERAL,UNCOMMON,7.0,2.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2157,MIND FUNERAL,UNCOMMON,1.0,3.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2158,NARCOMOEBA,UNCOMMON,3.0,2.49,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2159,"OONA, QUEEN OF THE FAE",RARE,2.0,4.29,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2160,"OONA, QUEEN OF THE FAE",RARE,2.0,11.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2161,PACT OF NEGATION,RARE,8.0,11.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2162,PACT OF NEGATION,RARE,1.0,29.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2163,PARADISE MANTLE,UNCOMMON,1.0,7.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2164,PARADISE MANTLE,UNCOMMON,1.0,19.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2165,PATH TO EXILE,UNCOMMON,1.0,4.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2166,PESTERMITE,COMMON,1.0,0.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2167,RUDE AWAKENING,RARE,1.0,2.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2168,SPELL SNARE,UNCOMMON,4.0,0.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2169,SPELL SNARE,UNCOMMON,1.0,5.29,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2170,STINKWEED IMP,COMMON,2.0,3.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2171,STREET WRAITH,COMMON,13.0,2.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2172,SWORD OF FIRE AND ICE,MYTHIC,3.0,96.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2173,SWORD OF LIGHT AND SHADOW,MYTHIC,1.0,39.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2174,TARMOGOYF,MYTHIC,1.0,29.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2175,THIRST FOR KNOWLEDGE,UNCOMMON,1.0,0.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2176,TIDEHOLLOW SCULLER,UNCOMMON,1.0,0.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2177,TOMBSTALKER,RARE,4.0,0.49,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2178,VEDALKEN SHACKLES,MYTHIC,1.0,7.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2179,VENDILION CLIQUE,MYTHIC,1.0,12.99,ENGLISH,NORMAL,NEAR MINT,MODERN MASTERS
2180,VENDILION CLIQUE,MYTHIC,1.0,19.99,ENGLISH,FOIL,NEAR MINT,MODERN MASTERS
2245,ADAPTIVE AUTOMATON,RARE,2.0,4.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2246,ANGELIC DESTINY,MYTHIC,2.0,8.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2247,BURIED RUIN,UNCOMMON,1.0,6.99,ENGLISH,FOIL,LIGHT PLAY,M12 CORE SET
2248,BURIED RUIN,UNCOMMON,4.0,1.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2249,BURIED RUIN,UNCOMMON,2.0,12.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2250,CEMETERY REAPER,RARE,3.0,7.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2251,DRAGONSKULL SUMMIT,RARE,1.0,4.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2252,DRAGONSKULL SUMMIT,RARE,4.0,8.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2253,DROWNED CATACOMB,RARE,1.0,12.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2254,DUNGROVE ELDER,RARE,3.0,1.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2255,ELVISH ARCHDRUID,RARE,4.0,2.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2256,FLAMEBLAST DRAGON,RARE,2.0,0.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2257,FURYBORN HELLKITE,MYTHIC,1.0,8.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2258,GIDEON JURA,MYTHIC,1.0,0.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2259,GLACIAL FORTRESS,RARE,15.0,4.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2260,GOBLIN CHIEFTAIN,RARE,2.0,5.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2261,GRAVE TITAN,MYTHIC,1.0,14.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2262,GRIM LAVAMANCER,RARE,7.0,0.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2263,GRIM LAVAMANCER,RARE,1.0,2.49,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2264,HONOR OF THE PURE,RARE,1.0,3.29,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2265,INFERNO TITAN,MYTHIC,1.0,8.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2266,JACE'S ARCHIVIST,RARE,7.0,4.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2267,LORD OF THE UNREAL,RARE,3.0,1.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2268,LORD OF THE UNREAL,RARE,8.0,14.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2269,MANA LEAK,COMMON,3.0,0.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2270,MIND UNBOUND,RARE,4.0,0.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2271,PHANTASMAL IMAGE,RARE,12.0,5.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2272,PHANTASMAL IMAGE,RARE,1.0,59.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2273,PONDER,COMMON,1.0,2.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2274,PONDER,COMMON,2.0,28.88,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2275,PRIMEVAL TITAN,MYTHIC,3.0,6.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2276,PRIMEVAL TITAN,MYTHIC,5.0,17.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2277,REVERBERATE,RARE,3.0,4.29,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2278,RITES OF FLOURISHING,RARE,1.0,1.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2279,ROOTBOUND CRAG,RARE,4.0,4.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2280,ROOTBOUND CRAG,RARE,1.0,6.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2281,RUNE-SCARRED DEMON,RARE,1.0,5.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2282,RUNE-SCARRED DEMON,RARE,2.0,8.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2283,SOLEMN SIMULACRUM,RARE,2.0,1.79,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2284,SOLEMN SIMULACRUM,RARE,1.0,11.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2285,SPIRIT MANTLE,UNCOMMON,2.0,1.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2286,SUN TITAN,MYTHIC,5.0,1.49,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2287,SUNDIAL OF THE INFINITE,RARE,4.0,4.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2288,SWIFTFOOT BOOTS,UNCOMMON,1.0,2.88,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2289,TIMELY REINFORCEMENTS,UNCOMMON,1.0,0.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2290,VENGEFUL PHARAOH,RARE,3.0,2.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2291,VISIONS OF BEYOND,RARE,1.0,7.99,ENGLISH,NORMAL,NEAR MINT,M12 CORE SET
2292,VISIONS OF BEYOND,RARE,2.0,16.99,ENGLISH,FOIL,NEAR MINT,M12 CORE SET
2293,ADARKAR WASTES,RARE,1.0,17.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2294,ARCANIS THE OMNIPOTENT,RARE,1.0,1.89,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2295,BATTLEFIELD FORGE,RARE,1.0,3.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2296,BEACON OF IMMORTALITY,RARE,1.0,3.49,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2297,BIRDS OF PARADISE,RARE,1.0,14.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2298,BRUSHLAND,RARE,3.0,19.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2299,CHROMATIC STAR,UNCOMMON,2.0,0.69,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2300,CITANUL FLUTE,RARE,1.0,4.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2301,COAT OF ARMS,RARE,2.0,22.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2302,CRUCIBLE OF WORLDS,RARE,3.0,59.99,ENGLISH,FOIL,NEAR MINT,10TH EDITION
2303,DREAMBORN MUSE,RARE,1.0,3.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2304,GOBLIN KING,RARE,2.0,13.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2305,GOBLIN LORE,UNCOMMON,4.0,1.49,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2306,GOBLIN LORE,UNCOMMON,2.0,24.99,ENGLISH,FOIL,NEAR MINT,10TH EDITION
2307,GRAVE PACT,RARE,2.0,36.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2308,GRAVEBORN MUSE,RARE,1.0,5.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2309,JOINER ADEPT,RARE,2.0,3.49,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2310,LEGACY WEAPON,RARE,1.0,49.99,ENGLISH,FOIL,NEAR MINT,10TH EDITION
2311,"MIRRI, CAT WARRIOR",RARE,1.0,5.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2312,PITHING NEEDLE,RARE,1.0,3.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2313,RELENTLESS RATS,UNCOMMON,2.0,3.29,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2314,REYA DAWNBRINGER,RARE,1.0,4.79,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2315,ROOT MAZE,RARE,1.0,7.49,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2316,ROYAL ASSASSIN,RARE,1.0,2.29,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2317,SEEDBORN MUSE,RARE,1.0,11.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2318,SEEDBORN MUSE,RARE,1.0,49.99,ENGLISH,FOIL,NEAR MINT,10TH EDITION
2319,SHATTERSTORM,UNCOMMON,2.0,11.99,ENGLISH,FOIL,NEAR MINT,10TH EDITION
2320,SHIVAN DRAGON,RARE,1.0,24.99,ENGLISH,FOIL,NEAR MINT,10TH EDITION
2321,SHIVAN REEF,RARE,3.0,3.49,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2322,SPELLBOOK,UNCOMMON,1.0,2.29,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2323,SPIRIT LINK,UNCOMMON,1.0,1.19,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2324,SYLVAN SCRYING,UNCOMMON,4.0,0.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2325,TIME STOP,RARE,1.0,8.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2326,TRAUMATIZE,RARE,3.0,4.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2327,TREETOP VILLAGE,UNCOMMON,2.0,0.49,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2328,TWINCAST,RARE,1.0,7.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2329,UNDERWORLD DREAMS,RARE,1.0,2.49,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2330,WHISPERSILK CLOAK,UNCOMMON,2.0,3.99,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2331,WRATH OF GOD,RARE,1.0,8.89,ENGLISH,NORMAL,NEAR MINT,10TH EDITION
2332,ALRUND'S EPIPHANY,MYTHIC,2.0,4.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2333,ALRUND'S EPIPHANY,MYTHIC,11.0,5.88,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2334,ALRUND'S EPIPHANY (BORDERLESS),MYTHIC,18.0,4.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2335,"ALRUND, GOD OF THE COSMOS / HAKKA, WHISPERING RAVEN",MYTHIC,3.0,0.49,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2336,"ALRUND, GOD OF THE COSMOS / HAKKA, WHISPERING RAVEN",MYTHIC,3.0,0.49,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2337,"ALRUND, GOD OF THE COSMOS / HAKKA, WHISPERING RAVEN (SHOWCASE)",MYTHIC,1.0,1.49,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2338,"ALRUND, GOD OF THE COSMOS / HAKKA, WHISPERING RAVEN (SHOWCASE)",MYTHIC,1.0,0.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2339,BARKCHANNEL PATHWAY / TIDECHANNEL PATHWAY (BORDERLESS),RARE,9.0,4.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2340,"BIRGI, GOD OF STORYTELLING / HARNFEL, HORN OF BOUNTY",RARE,1.0,3.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2341,"BIRGI, GOD OF STORYTELLING / HARNFEL, HORN OF BOUNTY (SHOWCASE)",RARE,1.0,11.88,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2342,BLIGHTSTEP PATHWAY / SEARSTEP PATHWAY,RARE,3.0,8.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2343,BLIGHTSTEP PATHWAY / SEARSTEP PATHWAY,RARE,16.0,8.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2344,BLOOD ON THE SNOW (EXTENDED ART),RARE,3.0,2.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2345,BLOOD ON THE SNOW (EXTENDED ART),RARE,1.0,0.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2346,BURNING-RUNE DEMON (EXTENDED ART),MYTHIC,1.0,7.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2347,"COSIMA, GOD OF THE VOYAGE / THE OMENKEEL",RARE,2.0,1.49,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2348,"COSIMA, GOD OF THE VOYAGE / THE OMENKEEL (SHOWCASE)",RARE,2.0,1.49,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2349,COSMOS ELIXIR,RARE,3.0,1.29,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2350,CYCLONE SUMMONER (EXTENDED ART),RARE,3.0,0.25,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2351,DARKBORE PATHWAY / SLITHERBORE PATHWAY,RARE,6.0,3.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2352,DARKBORE PATHWAY / SLITHERBORE PATHWAY,RARE,11.0,3.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2353,DARKBORE PATHWAY / SLITHERBORE PATHWAY (BORDERLESS),RARE,20.0,4.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2354,DOOMSKAR (EXTENDED ART),RARE,13.0,3.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2355,DOOMSKAR (EXTENDED ART),RARE,2.0,2.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2356,DRAGONKIN BERSERKER,RARE,1.0,0.25,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2357,DRAUGR NECROMANCER,RARE,12.0,0.25,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2358,DRAUGR NECROMANCER (EXTENDED ART),RARE,1.0,0.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2359,DREAM DEVOURER (EXTENDED ART),RARE,2.0,0.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2360,"EGON, GOD OF DEATH / THRONE OF DEATH (SHOWCASE)",RARE,5.0,0.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2361,ELDERFANG DISCIPLE,COMMON,4.0,0.25,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2362,ELVISH WARMASTER,RARE,1.0,1.69,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2363,ELVISH WARMASTER (EXTENDED ART),RARE,4.0,3.49,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2364,ERADICATOR VALKYRIE,MYTHIC,1.0,1.59,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2365,ERADICATOR VALKYRIE (EXTENDED ART),MYTHIC,3.0,3.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2366,"ESIKA, GOD OF THE TREE / THE PRISMATIC BRIDGE (SHOWCASE)",MYTHIC,4.0,16.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2367,FACELESS HAVEN,RARE,4.0,4.49,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2368,FACELESS HAVEN,RARE,21.0,1.49,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2369,FACELESS HAVEN (EXTENDED ART),RARE,6.0,6.49,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2370,GLORIOUS PROTECTOR (EXTENDED ART),RARE,1.0,0.44,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2371,GOLDSPAN DRAGON,MYTHIC,3.0,36.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2372,GOLDSPAN DRAGON,MYTHIC,16.0,23.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2373,GOLDSPAN DRAGON (EXTENDED ART),MYTHIC,2.0,34.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2374,"HALVAR, GOD OF BATTLE / SWORD OF THE REALMS",MYTHIC,4.0,7.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2375,HAUNTING VOYAGE,MYTHIC,1.0,2.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2376,HENGEGATE PATHWAY / MISTGATE PATHWAY,RARE,2.0,14.99,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
2377,IMMERSTURM PREDATOR (EXTENDED ART),RARE,4.0,1.99,ENGLISH,FOIL,NEAR MINT,KALDHEIM
2378,IN SEARCH OF GREATNESS,RARE,12.0,0.25,ENGLISH,NORMAL,NEAR MINT,KALDHEIM
