,Name,Number,Rarity,Details,Quantity,Price,Language,Finish,Condition,Expansion
3351,Plains (282),,Common,,1.0,0.99,English,Foil,NEAR MINT,Shadowmoor
3352,Plains (283),,Common,,3.0,1.99,English,Foil,NEAR MINT,Shadowmoor
3353,Polluted Bonds,,Rare,,1.0,36.99,English,Normal,NEAR MINT,Shadowmoor
3354,Puca's Mischief,,Rare,,1.0,6.99,English,Foil,NEAR MINT,Shadowmoor
3355,Reflecting Pool,,Rare,,2.0,29.99,English,Normal,NEAR MINT,Shadowmoor
3356,Runed Halo,,Rare,,2.0,1.29,English,Normal,NEAR MINT,Shadowmoor
3357,Savor the Moment,,Rare,,1.0,59.99,English,Foil,NEAR MINT,Shadowmoor
3358,Shield of the Oversoul,,Common,,4.0,5.99,English,Normal,NEAR MINT,Shadowmoor
3359,Steel of the Godhead,,Common,,4.0,3.99,English,Normal,NEAR MINT,Shadowmoor
3360,Sunken Ruins,,Rare,,1.0,39.99,English,Foil,NEAR MINT,Shadowmoor
3361,Thistledown Liege,,Rare,,1.0,3.99,English,Normal,NEAR MINT,Shadowmoor
3362,Twilight Shepherd,,Rare,,1.0,0.99,English,Normal,NEAR MINT,Shadowmoor
3363,Umbral Mantle,,Uncommon,,6.0,6.99,English,Normal,NEAR MINT,Shadowmoor
3364,Wheel of Sun and Moon,,Rare,,2.0,89.99,English,Foil,NEAR MINT,Shadowmoor
3365,Wilt-Leaf Liege,,Rare,,1.0,2.89,English,Normal,NEAR MINT,Shadowmoor
3366,Wooded Bastion,,Rare,,4.0,9.99,English,Normal,NEAR MINT,Shadowmoor
3367,Wound Reflection,,Rare,,3.0,9.99,English,Normal,NEAR MINT,Shadowmoor
3368,Wound Reflection,,Rare,,1.0,37.99,English,Foil,NEAR MINT,Shadowmoor
3369,Atarka's Command,,Rare,,4.0,2.49,English,Normal,NEAR MINT,Dragons of Tarkir
3370,Clone Legion,,Mythic,,1.0,8.99,English,Foil,NEAR MINT,Dragons of Tarkir
3371,Collected Company,,Rare,,1.0,14.99,English,Normal,NEAR MINT,Dragons of Tarkir
3372,Collected Company,,Rare,,3.0,22.99,English,Foil,NEAR MINT,Dragons of Tarkir
3373,Deathmist Raptor,,Mythic,,2.0,0.49,English,Normal,NEAR MINT,Dragons of Tarkir
3374,Den Protector,,Rare,,11.0,0.49,English,Normal,NEAR MINT,Dragons of Tarkir
3375,Descent of the Dragons,,Mythic,,1.0,11.99,English,Foil,NEAR MINT,Dragons of Tarkir
3376,Dragon Whisperer,,Mythic,,1.0,1.49,English,Normal,NEAR MINT,Dragons of Tarkir
3377,Dragon Whisperer,,Mythic,,1.0,2.99,English,Foil,NEAR MINT,Dragons of Tarkir
3378,Dragonlord Atarka,,Mythic,,2.0,46.99,English,Foil,NEAR MINT,Dragons of Tarkir
3379,Dragonlord Atarka,,Mythic,,1.0,11.99,English,Normal,NEAR MINT,Dragons of Tarkir
3380,Dragonlord Dromoka,,Mythic,,2.0,34.99,English,Normal,NEAR MINT,Dragons of Tarkir
3381,Dragonlord Kolaghan,,Mythic,,3.0,9.99,English,Normal,NEAR MINT,Dragons of Tarkir
3382,Dragonlord Ojutai,,Mythic,,2.0,3.29,English,Normal,NEAR MINT,Dragons of Tarkir
3383,Dragonlord Ojutai,,Mythic,,2.0,26.99,English,Foil,NEAR MINT,Dragons of Tarkir
3384,Dragonlord Silumgar,,Mythic,,8.0,16.99,English,Normal,NEAR MINT,Dragons of Tarkir
3385,Dragonlord's Servant,,Uncommon,,2.0,3.29,English,Foil,NEAR MINT,Dragons of Tarkir
3386,Dromoka's Command,,Rare,,5.0,0.99,English,Normal,NEAR MINT,Dragons of Tarkir
3387,Dromoka's Command,,Rare,,1.0,3.99,English,Foil,NEAR MINT,Dragons of Tarkir
3388,Explosive Vegetation,,Uncommon,,1.0,4.99,English,Foil,NEAR MINT,Dragons of Tarkir
3389,Hidden Dragonslayer,,Rare,,1.0,0.49,English,Foil,NEAR MINT,Dragons of Tarkir
3390,Icefall Regent,,Rare,,1.0,1.49,English,Normal,NEAR MINT,Dragons of Tarkir
3391,Impact Tremors,,Common,,2.0,18.99,English,Foil,NEAR MINT,Dragons of Tarkir
3392,Kolaghan's Command,,Rare,,1.0,39.99,English,Foil,NEAR MINT,Dragons of Tarkir
3393,Narset Transcendent,,Mythic,,3.0,8.99,English,Normal,NEAR MINT,Dragons of Tarkir
3394,Ojutai's Command,,Rare,,1.0,0.49,English,Foil,NEAR MINT,Dragons of Tarkir
3395,Risen Executioner,,Mythic,,1.0,4.99,English,Normal,NEAR MINT,Dragons of Tarkir
3396,Risen Executioner,,Mythic,,1.0,6.99,English,Foil,NEAR MINT,Dragons of Tarkir
3397,Sarkhan Unbroken,,Mythic,,4.0,13.99,English,Normal,NEAR MINT,Dragons of Tarkir
3398,Sarkhan's Triumph,,Uncommon,,3.0,1.99,English,Normal,NEAR MINT,Dragons of Tarkir
3399,Savage Ventmaw,,Uncommon,,1.0,10.99,English,Foil,NEAR MINT,Dragons of Tarkir
3400,Shaman of Forgotten Ways,,Mythic,,2.0,16.99,English,Foil,NEAR MINT,Dragons of Tarkir
3401,Shaman of Forgotten Ways,,Mythic,,1.0,7.99,English,Normal,NEAR MINT,Dragons of Tarkir
3402,Shorecrasher Elemental,,Mythic,,3.0,0.49,English,Normal,NEAR MINT,Dragons of Tarkir
3403,Silumgar’s Scorn,,,,8.0,0.49,English,Foil,NEAR MINT,Dragons of Tarkir
3404,Thunderbreak Regent,,Rare,,12.0,4.49,English,Normal,NEAR MINT,Dragons of Tarkir
3405,Zurgo Bellstriker,,Rare,,1.0,0.49,English,Normal,NEAR MINT,Dragons of Tarkir
3406,Absorb,,Rare,,1.0,3.99,English,Foil,NEAR MINT,Ravnica Allegiance
3407,Absorb,,Rare,,2.0,0.99,English,Normal,NEAR MINT,Ravnica Allegiance
3408,Bedevil,,Rare,,3.0,1.99,English,Normal,NEAR MINT,Ravnica Allegiance
3409,Biogenic Ooze,,Mythic,,2.0,2.99,English,Normal,NEAR MINT,Ravnica Allegiance
3410,Blood Crypt,,Rare,,1.0,34.99,English,Foil,NEAR MINT,Ravnica Allegiance
3411,Breeding Pool,,Rare,,2.0,38.99,English,Foil,NEAR MINT,Ravnica Allegiance
3412,Breeding Pool,,Rare,,12.0,21.99,English,Normal,NEAR MINT,Ravnica Allegiance
3413,Captive Audience,,Mythic,,6.0,4.29,English,Normal,NEAR MINT,Ravnica Allegiance
3414,Cindervines,,Rare,,1.0,3.99,English,Foil,NEAR MINT,Ravnica Allegiance
3415,Deputy of Detention,,Rare,,2.0,3.49,English,Foil,NEAR MINT,Ravnica Allegiance
3416,Deputy of Detention,,Rare,,9.0,0.49,English,Normal,NEAR MINT,Ravnica Allegiance
3417,"Domri, Chaos Bringer",,Mythic,,1.0,1.49,English,Normal,NEAR MINT,Ravnica Allegiance
3418,Electrodominance,,Rare,,4.0,1.99,English,Normal,NEAR MINT,Ravnica Allegiance
3419,Ethereal Absolution,,Rare,,1.0,2.49,English,Foil,NEAR MINT,Ravnica Allegiance
3420,Ethereal Absolution,,Rare,,3.0,0.49,English,Normal,NEAR MINT,Ravnica Allegiance
3421,Gruul Spellbreaker,,Rare,,1.0,0.49,English,Normal,NEAR MINT,Ravnica Allegiance
3422,Gruul Spellbreaker,,Rare,,2.0,1.49,English,Foil,NEAR MINT,Ravnica Allegiance
3423,Guardian Project,,Rare,,1.0,11.99,English,Normal,NEAR MINT,Ravnica Allegiance
3424,Gutterbones,,Rare,,2.0,2.99,English,Foil,NEAR MINT,Ravnica Allegiance
3425,Hero of Precinct One,,Rare,,1.0,0.49,English,Normal,NEAR MINT,Ravnica Allegiance
3426,Hydroid Krasis,,Mythic,,3.0,19.99,English,Foil,NEAR MINT,Ravnica Allegiance
3427,Hydroid Krasis,,Mythic,,1.0,8.99,English,Normal,NEAR MINT,Ravnica Allegiance
3428,Immolation Shaman,,Rare,,1.0,0.49,English,Normal,NEAR MINT,Ravnica Allegiance
3429,"Kaya, Orzhov Usurper",,Mythic,,1.0,12.99,English,Foil,NEAR MINT,Ravnica Allegiance
3430,"Kaya, Orzhov Usurper",,Mythic,,3.0,3.29,English,Normal,NEAR MINT,Ravnica Allegiance
3431,Mirror March,,Rare,,8.0,0.99,English,Normal,NEAR MINT,Ravnica Allegiance
3432,Persistent Petitioners,,Common,,3.0,1.49,English,Normal,NEAR MINT,Ravnica Allegiance
3433,Priest of Forgotten Gods,,Rare,,2.0,8.99,English,Foil,NEAR MINT,Ravnica Allegiance
3434,Priest of Forgotten Gods,,Rare,,1.0,1.99,English,Normal,NEAR MINT,Ravnica Allegiance
3435,Prime Speaker Vannifar,,Mythic,,8.0,2.29,English,Normal,NEAR MINT,Ravnica Allegiance
3436,Pteramander,,Uncommon,,2.0,2.29,English,Foil,NEAR MINT,Ravnica Allegiance
3437,Rhythm of the Wild,,Uncommon,,20.0,3.49,English,Normal,NEAR MINT,Ravnica Allegiance
3438,Seraph of the Scales,,Mythic,,7.0,1.99,English,Normal,NEAR MINT,Ravnica Allegiance
3439,Simic Ascendancy,,Rare,,1.0,4.49,English,Foil,NEAR MINT,Ravnica Allegiance
3440,Skarrgan Hellkite,,Mythic,,2.0,0.49,English,Normal,NEAR MINT,Ravnica Allegiance
3441,Smothering Tithe,,Rare,,1.0,72.99,English,Foil,NEAR MINT,Ravnica Allegiance
3442,Sphinx of Foresight,,Rare,,9.0,0.49,English,Normal,NEAR MINT,Ravnica Allegiance
3443,Sphinx of Foresight,,Rare,,1.0,3.99,English,Foil,NEAR MINT,Ravnica Allegiance
3444,Stomping Ground,,Rare,,4.0,9.99,English,Normal,NEAR MINT,Ravnica Allegiance
3445,Teysa Karlov,,Rare,,3.0,2.99,English,Normal,NEAR MINT,Ravnica Allegiance
3446,Unbreakable Formation,,Rare,,1.0,0.99,English,Normal,NEAR MINT,Ravnica Allegiance
3447,Unbreakable Formation,,Rare,,1.0,3.99,English,Foil,NEAR MINT,Ravnica Allegiance
3531,Abrupt Decay,,Rare,,18.0,3.69,English,Normal,NEAR MINT,Modern Masters 2017
3532,Advent of the Wurm,,Rare,,2.0,0.49,English,Normal,NEAR MINT,Modern Masters 2017
3533,Arcane Sanctum,,Uncommon,,2.0,1.49,English,Normal,NEAR MINT,Modern Masters 2017
3534,Arid Mesa,,Rare,,13.0,17.99,English,Normal,NEAR MINT,Modern Masters 2017
3535,Arid Mesa,,Rare,,5.0,22.99,English,Foil,NEAR MINT,Modern Masters 2017
3536,Basilisk Collar,,Rare,,2.0,2.99,English,Normal,NEAR MINT,Modern Masters 2017
3537,Blade Splicer,,Rare,,1.0,0.49,English,Normal,NEAR MINT,Modern Masters 2017
3538,Blood Moon,,Rare,,1.0,16.99,English,Normal,NEAR MINT,Modern Masters 2017
3539,Blood Moon,,Rare,,3.0,24.99,English,Foil,NEAR MINT,Modern Masters 2017
3540,Boros Reckoner,,Rare,,3.0,0.99,English,Normal,NEAR MINT,Modern Masters 2017
3541,Boros Signet,,Uncommon,,4.0,0.49,English,Normal,NEAR MINT,Modern Masters 2017
3542,Broodmate Dragon,,Rare,,2.0,0.49,English,Normal,NEAR MINT,Modern Masters 2017
3543,Cavern of Souls,,Mythic,,3.0,89.99,English,Normal,NEAR MINT,Modern Masters 2017
3544,Cavern of Souls,,Mythic,,1.0,119.99,English,Foil,NEAR MINT,Modern Masters 2017
3545,Compulsive Research,,Uncommon,,1.0,0.49,English,Foil,NEAR MINT,Modern Masters 2017
3546,Cyclonic Rift,,Rare,,5.0,34.99,English,Normal,NEAR MINT,Modern Masters 2017
3547,Damnation,,Rare,,2.0,29.99,English,Normal,NEAR MINT,Modern Masters 2017
3548,Damnation,,Rare,,1.0,42.99,English,Foil,NEAR MINT,Modern Masters 2017
3549,Deadeye Navigator,,Rare,,1.0,8.99,English,Normal,NEAR MINT,Modern Masters 2017
3550,Deadeye Navigator,,Rare,,1.0,19.99,English,Foil,NEAR MINT,Modern Masters 2017
3551,Dimir Signet,,Uncommon,,1.0,6.99,English,Foil,NEAR MINT,Modern Masters 2017
3552,Falkenrath Aristocrat,,Rare,,1.0,2.99,English,Foil,NEAR MINT,Modern Masters 2017
3553,Gifts Ungiven,,Rare,,2.0,1.49,English,Normal,NEAR MINT,Modern Masters 2017
3554,Gifts Ungiven,,Rare,,1.0,3.49,English,Foil,NEAR MINT,Modern Masters 2017
3555,Goblin Guide,,Rare,,12.0,4.99,English,Normal,NEAR MINT,Modern Masters 2017
3556,Grafdigger's Cage,,Rare,,4.0,2.49,English,Normal,NEAR MINT,Modern Masters 2017
3557,Inquisition of Kozilek,,Uncommon,,15.0,4.49,English,Normal,NEAR MINT,Modern Masters 2017
3558,Inquisition of Kozilek,,Uncommon,,1.0,7.99,English,Foil,NEAR MINT,Modern Masters 2017
3559,Izzet Charm,,Uncommon,,2.0,0.49,English,Foil,NEAR MINT,Modern Masters 2017
3560,Izzet Signet,,Uncommon,,3.0,0.99,English,Normal,NEAR MINT,Modern Masters 2017
3561,Izzet Signet,,Uncommon,,1.0,8.99,English,Foil,NEAR MINT,Modern Masters 2017
3562,Liliana of the Veil,,Mythic,,1.0,109.99,English,Foil,NEAR MINT,Modern Masters 2017
3563,"Linvala, Keeper of Silence",,Mythic,,2.0,12.99,English,Normal,NEAR MINT,Modern Masters 2017
3564,Marsh Flats,,Rare,,12.0,17.99,English,Normal,NEAR MINT,Modern Masters 2017
3565,Marsh Flats,,Rare,,3.0,29.99,English,Foil,NEAR MINT,Modern Masters 2017
3566,Misty Rainforest,,Rare,,15.0,25.99,English,Normal,NEAR MINT,Modern Masters 2017
3567,Misty Rainforest,,Rare,,2.0,44.99,English,Foil,NEAR MINT,Modern Masters 2017
3568,Molten Rain,,Uncommon,,4.0,0.49,English,Normal,NEAR MINT,Modern Masters 2017
3569,"Obzedat, Ghost Council",,Rare,,2.0,1.49,English,Normal,NEAR MINT,Modern Masters 2017
3570,Past in Flames,,Mythic,,1.0,2.99,English,Normal,NEAR MINT,Modern Masters 2017
3571,Past in Flames,,Mythic,,3.0,8.99,English,Foil,NEAR MINT,Modern Masters 2017
3572,Path to Exile,,Uncommon,,13.0,4.49,English,Normal,NEAR MINT,Modern Masters 2017
3573,Phantasmal Image,,Rare,,10.0,4.99,English,Normal,NEAR MINT,Modern Masters 2017
3574,Primal Command,,Rare,,4.0,1.99,English,Normal,NEAR MINT,Modern Masters 2017
3575,Primal Command,,Rare,,2.0,3.88,English,Foil,NEAR MINT,Modern Masters 2017
3576,Pyroclasm,,Uncommon,,3.0,0.49,English,Foil,NEAR MINT,Modern Masters 2017
3577,Pyromancer Ascension,,Rare,,3.0,0.49,English,Foil,NEAR MINT,Modern Masters 2017
3578,Savage Lands,,Uncommon,,1.0,2.49,English,Foil,NEAR MINT,Modern Masters 2017
3579,Scalding Tarn,,Rare,,7.0,29.99,English,Normal,NEAR MINT,Modern Masters 2017
3580,Scalding Tarn,,Rare,,4.0,49.99,English,Foil,NEAR MINT,Modern Masters 2017
3581,Serum Visions,,Uncommon,,1.0,1.99,English,Normal,NEAR MINT,Modern Masters 2017
3582,Serum Visions,,Uncommon,,2.0,3.99,English,Foil,NEAR MINT,Modern Masters 2017
3583,Simic Signet,,Uncommon,,3.0,0.49,English,Normal,NEAR MINT,Modern Masters 2017
3584,Snapcaster Mage,,Mythic,,1.0,39.99,English,Normal,NEAR MINT,Modern Masters 2017
3585,Tarmogoyf,,Mythic,,4.0,29.99,English,Normal,NEAR MINT,Modern Masters 2017
3586,Terminus,,Rare,,2.0,2.49,English,Normal,NEAR MINT,Modern Masters 2017
3587,Terminus,,Rare,,2.0,6.29,English,Foil,NEAR MINT,Modern Masters 2017
3588,"Venser, Shaper Savant",,Rare,,3.0,4.99,English,Normal,NEAR MINT,Modern Masters 2017
3589,"Venser, Shaper Savant",,Rare,,3.0,9.99,English,Foil,NEAR MINT,Modern Masters 2017
3590,Verdant Catacombs,,Rare,,4.0,21.99,English,Normal,NEAR MINT,Modern Masters 2017
3591,Verdant Catacombs,,Rare,,5.0,26.99,English,Foil,NEAR MINT,Modern Masters 2017
3592,Zealous Conscripts,,Rare,,1.0,2.79,English,Normal,NEAR MINT,Modern Masters 2017
3638,Abyssal Persecutor,,Mythic,,3.0,1.49,English,Normal,NEAR MINT,Worldwake
3639,Admonition Angel,,Mythic,,1.0,2.99,English,Normal,NEAR MINT,Worldwake
3640,"Anowon, the Ruin Sage",,Rare,,1.0,3.99,English,Normal,NEAR MINT,Worldwake
3641,Avenger of Zendikar,,Mythic,,1.0,8.99,English,Normal,NEAR MINT,Worldwake
3642,Butcher of Malakir,,Rare,,4.0,2.99,English,Normal,NEAR MINT,Worldwake
3643,Creeping Tar Pit,,Rare,,2.0,3.49,English,Normal,NEAR MINT,Worldwake
3644,Death's Shadow,,Rare,,3.0,7.88,English,Normal,NEAR MINT,Worldwake
3645,Eye of Ugin,,Mythic,,2.0,13.88,English,Normal,NEAR MINT,Worldwake
3646,Goliath Sphinx,,Rare,,1.0,0.99,English,Foil,NEAR MINT,Worldwake
3647,Halimar Depths,,Common,,3.0,0.49,English,Normal,NEAR MINT,Worldwake
3648,Joraga Warcaller,,Rare,,1.0,8.88,English,Normal,NEAR MINT,Worldwake
3649,Jwari Shapeshifter,,Rare,,1.0,5.99,English,Foil,NEAR MINT,Worldwake
3650,Khalni Garden,,Common,,1.0,10.99,English,Foil,NEAR MINT,Worldwake
3651,Lodestone Golem,,Rare,,3.0,2.49,English,Normal,NEAR MINT,Worldwake
3652,"Omnath, Locus of Mana",,Mythic,,1.0,13.88,English,Normal,NEAR MINT,Worldwake
3653,Quest for Renewal,,Uncommon,,1.0,5.99,English,Normal,NEAR MINT,Worldwake
3654,Quest for the Nihil Stone,,Rare,,1.0,2.88,English,Normal,NEAR MINT,Worldwake
3655,Roiling Terrain,,Common,,1.0,0.99,English,Foil,NEAR MINT,Worldwake
3656,Selective Memory,,Rare,,1.0,3.99,English,Foil,NEAR MINT,Worldwake
3657,Stoneforge Mystic,,Rare,,3.0,149.99,English,Foil,NEAR MINT,Worldwake
3658,Tectonic Edge,,Uncommon,,1.0,0.88,English,Normal,NEAR MINT,Worldwake
3659,Tectonic Edge,,Uncommon,,2.0,3.79,English,Foil,NEAR MINT,Worldwake
3660,Terastodon,,Rare,,2.0,5.99,English,Foil,NEAR MINT,Worldwake
3661,"Thada Adel, Acquisitor",,Rare,,4.0,6.99,English,Normal,NEAR MINT,Worldwake
3662,"Wrexial, the Risen Deep",,Mythic,,1.0,38.88,English,Foil,NEAR MINT,Worldwake
3697,Drogskol Reaver,,Mythic,,1.0,14.99,English,Normal,NEAR MINT,Dark Ascension
3698,Geralf's Messenger,,Rare,,1.0,8.88,English,Normal,NEAR MINT,Dark Ascension
3699,Grafdigger's Cage,,Rare,,5.0,2.99,English,Normal,NEAR MINT,Dark Ascension
3700,Gravecrawler,,Rare,,2.0,34.99,English,Foil,NEAR MINT,Dark Ascension
3701,Gravecrawler,,Rare,,5.0,14.99,English,Normal,NEAR MINT,Dark Ascension
3702,Grim Backwoods,,Rare,,4.0,0.49,English,Normal,NEAR MINT,Dark Ascension
3703,Havengul Lich,,Mythic,,3.0,8.49,English,Normal,NEAR MINT,Dark Ascension
3704,Huntmaster of the Fells (Ravager of the Fells),,Mythic,,2.0,14.88,English,Normal,NEAR MINT,Dark Ascension
3705,Immerwolf,,Uncommon,,4.0,3.99,English,Normal,NEAR MINT,Dark Ascension
3706,Increasing Ambition,,Rare,,3.0,1.79,English,Normal,NEAR MINT,Dark Ascension
3707,Increasing Confusion,,Rare,,1.0,1.99,English,Normal,NEAR MINT,Dark Ascension
3708,Increasing Devotion,,Rare,,2.0,0.49,English,Normal,NEAR MINT,Dark Ascension
3709,Increasing Savagery,,Rare,,2.0,0.99,English,Normal,NEAR MINT,Dark Ascension
3710,Lingering Souls,,Uncommon,,2.0,3.99,English,Foil,NEAR MINT,Dark Ascension
3711,Lingering Souls,,Uncommon,,8.0,0.49,English,Normal,NEAR MINT,Dark Ascension
3712,"Mikaeus, the Unhallowed",,Mythic,,3.0,38.88,English,Normal,NEAR MINT,Dark Ascension
3713,Moonveil Dragon,,Mythic,,3.0,2.99,English,Normal,NEAR MINT,Dark Ascension
3714,Predator Ooze,,Rare,,4.0,2.99,English,Normal,NEAR MINT,Dark Ascension
3715,"Thalia, Guardian of Thraben",,Rare,,1.0,24.99,English,Foil,NEAR MINT,Dark Ascension
3716,"Thalia, Guardian of Thraben",,Rare,,4.0,2.99,English,Normal,NEAR MINT,Dark Ascension
3717,Vorapede,,Mythic,,1.0,0.69,English,Normal,NEAR MINT,Dark Ascension
3718,Wolfbitten Captive (Krallenhorde Killer),,Rare,,1.0,1.99,English,Normal,NEAR MINT,Dark Ascension
3719,Zombie Apocalypse,,Rare,,10.0,2.49,English,Normal,NEAR MINT,Dark Ascension
3758,Ancient Ziggurat,,Uncommon,,8.0,6.99,English,Normal,NEAR MINT,Conflux
3759,Child of Alara,,Mythic,,4.0,26.88,English,Normal,NEAR MINT,Conflux
3760,Child of Alara,,Mythic,,2.0,49.99,English,Foil,NEAR MINT,Conflux
3761,Ethersworn Adjudicator,,Mythic,,2.0,7.99,English,Foil,NEAR MINT,Conflux
3762,Exotic Orchard,,Rare,,2.0,99.99,English,Foil,NEAR MINT,Conflux
3763,Font of Mythos,,Rare,,1.0,7.99,English,Normal,NEAR MINT,Conflux
3764,Knight of the Reliquary,,Rare,,6.0,2.89,English,Normal,NEAR MINT,Conflux
3765,Lapse of Certainty,,Common,,0.0,0.69,English,Normal,NEAR MINT,Conflux
3766,Magister Sphinx,,Rare,,1.0,4.99,English,Normal,NEAR MINT,Conflux
3767,Martial Coup,,Rare,,4.0,1.49,English,Normal,NEAR MINT,Conflux
3768,Noble Hierarch,,Rare,,1.0,13.99,English,Normal,NEAR MINT,Conflux
3769,Nyxathid,,Rare,,2.0,0.49,English,Foil,NEAR MINT,Conflux
3770,Progenitus,,Mythic,,2.0,13.99,English,Normal,NEAR MINT,Conflux
3771,Reliquary Tower,,Uncommon,,2.0,8.88,English,Foil,NEAR MINT,Conflux
3772,Soul's Majesty,,Rare,,4.0,3.99,English,Normal,NEAR MINT,Conflux
3773,Voracious Dragon,,Rare,,1.0,0.99,English,Normal,NEAR MINT,Conflux
4038,"Jace, the Mind Sculptor",,Mythic,,3.0,169.99,English,Foil,NEAR MINT,War of the Spark Mythic Edition
4039,"Nahiri, the Harbinger",,Mythic,,1.0,24.99,English,Foil,NEAR MINT,War of the Spark Mythic Edition
4040,"Ugin, the Spirit Dragon",,Mythic,,1.0,129.99,English,Foil,NEAR MINT,War of the Spark Mythic Edition
4056,Battletide Alchemist,,Rare,,1.0,3.49,English,Normal,NEAR MINT,Morningtide
4057,Bitterblossom,,Rare,,2.0,50.99,English,Normal,NEAR MINT,Morningtide
4058,Graceful Reprieve,,Uncommon,,1.0,1.99,English,Foil,NEAR MINT,Morningtide
4059,Grimoire Thief,,Rare,,1.0,1.49,English,Normal,NEAR MINT,Morningtide
4060,Heritage Druid,,Uncommon,,1.0,8.88,English,Normal,NEAR MINT,Morningtide
4061,Idyllic Tutor,,Rare,,2.0,59.99,English,Foil,NEAR MINT,Morningtide
4062,Indomitable Ancients,,Rare,,1.0,5.99,English,Normal,NEAR MINT,Morningtide
4063,Kinsbaile Borderguard,,Rare,,2.0,1.49,English,Normal,NEAR MINT,Morningtide
4064,Kinsbaile Cavalier,,Rare,,3.0,5.99,English,Normal,NEAR MINT,Morningtide
4065,Knowledge Exploitation,,Rare,,1.0,15.99,English,Normal,NEAR MINT,Morningtide
4066,Primal Beyond,,Rare,,3.0,9.99,English,Normal,NEAR MINT,Morningtide
4067,Sage of Fables,,Uncommon,,4.0,2.99,English,Normal,NEAR MINT,Morningtide
4068,Scapeshift,,Rare,,8.0,22.99,English,Normal,NEAR MINT,Morningtide
4069,Scapeshift,,Rare,,1.0,99.99,English,Foil,NEAR MINT,Morningtide
4070,Shard Volley,,Common,,3.0,5.99,English,Foil,NEAR MINT,Morningtide
4071,Sigil Tracer,,Rare,,4.0,8.99,English,Normal,NEAR MINT,Morningtide
4072,Thornbite Staff,,Uncommon,,7.0,16.99,English,Normal,NEAR MINT,Morningtide
4073,Vendilion Clique,,Rare,,2.0,9.99,English,Normal,NEAR MINT,Morningtide
4085,Akroma's Memorial,,Rare,,2.0,18.88,English,Normal,NEAR MINT,Futuresight
4086,Akroma's Memorial,,Rare,,0.0,99.99,English,Foil,NEAR MINT,Futuresight
4087,Angel of Salvation,,Rare,,0.0,3.99,English,Foil,NEAR MINT,Futuresight
4088,Arcanum Wings,,Uncommon,,0.0,7.99,English,Foil,NEAR MINT,Futuresight
4089,Aven Mindcensor,,Uncommon,,0.0,3.49,English,Normal,NEAR MINT,Futuresight
4090,Aven Mindcensor,,Uncommon,,0.0,22.99,English,Foil,NEAR MINT,Futuresight
4091,Aven Mindcensor,,Uncommon,,0.0,9.99,English,Foil,LIGHT PLAY,Futuresight
4092,"Baru, Fist of Krosa",,Rare,,0.0,6.99,English,Foil,NEAR MINT,Futuresight
4093,"Baru, Fist of Krosa",,Rare,,3.0,1.49,English,Normal,NEAR MINT,Futuresight
4094,Bitter Ordeal,,Rare,,0.0,64.99,English,Foil,NEAR MINT,Futuresight
4095,Bitter Ordeal,,Rare,,0.0,15.99,English,Normal,NEAR MINT,Futuresight
4096,Blade of the Sixth Pride,,Common,,0.0,0.01,English,Foil,NEAR MINT,Futuresight
4097,Bridge from Below,,Rare,,1.0,4.49,English,Normal,NEAR MINT,Futuresight
4098,Bridge from Below,,Rare,,0.0,29.99,English,Foil,NEAR MINT,Futuresight
4099,Centaur Omenreader,,Uncommon,,0.0,0.01,English,Foil,NEAR MINT,Futuresight
4100,Cloud Key,,Rare,,1.0,49.99,English,Foil,NEAR MINT,Futuresight
4101,Cloud Key,,Rare,,1.0,9.99,English,Normal,NEAR MINT,Futuresight
4102,Coalition Relic,,Rare,,0.0,4.49,English,Normal,NEAR MINT,Futuresight
4103,Coalition Relic,,Rare,,1.0,35.99,English,Foil,NEAR MINT,Futuresight
4104,Coalition Relic,,Rare,,0.0,39.99,English,Foil,LIGHT PLAY,Futuresight
4105,Coalition Relic,,Rare,,0.0,19.99,English,Foil,MEDIUM PLAY,Futuresight
4106,Dakmor Salvage,,Uncommon,,0.0,0.79,English,Normal,NEAR MINT,Futuresight
4107,Dakmor Salvage,,Uncommon,,0.0,9.99,English,Foil,NEAR MINT,Futuresight
4108,Darksteel Garrison,,Rare,,0.0,6.99,English,Foil,NEAR MINT,Futuresight
4109,Daybreak Coronet,,Rare,,0.0,5.99,English,Normal,NEAR MINT,Futuresight
4110,Daybreak Coronet,,Rare,,0.0,19.99,English,Foil,NEAR MINT,Futuresight
4111,Daybreak Coronet,,Rare,,0.0,9.99,English,Foil,LIGHT PLAY,Futuresight
4112,Delay,,Uncommon,,2.0,3.49,English,Normal,NEAR MINT,Futuresight
4113,Delay,,Uncommon,,0.0,28.88,English,Foil,NEAR MINT,Futuresight
4114,Dryad Arbor,,Uncommon,,4.0,5.99,English,Normal,NEAR MINT,Futuresight
4115,Dryad Arbor,,Uncommon,,0.0,119.99,English,Foil,NEAR MINT,Futuresight
4116,Dryad Arbor,,Uncommon,,0.0,2.99,English,Normal,LIGHT PLAY,Futuresight
4117,Edge of Autumn,,Common,,0.0,10.99,English,Foil,NEAR MINT,Futuresight
4118,Epochrasite,,Rare,,0.0,0.01,English,Foil,NEAR MINT,Futuresight
4119,Fleshwrither,,Uncommon,,0.0,9.99,English,Foil,NEAR MINT,Futuresight
4120,Force of Savagery,,Rare,,1.0,2.49,English,Normal,NEAR MINT,Futuresight
