"","Count","Name","Expansion","Condition","Language","Finish"
"1239",1,"Amulet of Kroog","Fourth Edition","Near Mint","English","Normal"
"1240",1,"Amulet of Kroog","Fifth Edition","Near Mint","English","Normal"
"1241",1,"Mana Vault","Fifth Edition","Near Mint","English","Normal"
"1242",1,"Weakness","Revised Edition","Near Mint","English","Normal"
"1243",1,"Wall of Bone","Revised Edition","Near Mint","English","Normal"
"1244",1,"Vampire Bats","Fourth Edition","Near Mint","English","Normal"
"1245",1,"Unholy Strength","Fifth Edition","Near Mint","English","Normal"
"1246",1,"Tar Pit Warrior","Visions","Near Mint","English","Normal"
"1247",1,"Shadow Rider","Weatherlight","Near Mint","English","Normal"
"1248",1,"Sengir Vampire","Revised Edition","Near Mint","English","Normal"
"1249",1,"Scathe Zombies","Fourth Edition","Near Mint","English","Normal"
"1250",1,"Raise Dead","Revised Edition","Near Mint","English","Normal"
"1251",1,"Raise Dead","Fifth Edition","Near Mint","English","Normal"
"1252",1,"Pit Scorpion","Fifth Edition","Near Mint","English","Normal"
"1253",1,"Pestilence","Revised Edition","Near Mint","English","Normal"
"1254",1,"Paralyze","Fourth Edition","Near Mint","English","Normal"
"1255",2,"Necrite (Spencer)","Fallen Empires","Near Mint","English","Normal"
"1256",1,"Necrite","Fifth Edition","Near Mint","English","Normal"
"1257",2,"Mindstab Thrull (Hudson)","Fallen Empires","Near Mint","English","Normal"
"1258",1,"Marsh Gas","Fourth Edition","Near Mint","English","Normal"
"1259",1,"Initiates of the Ebon Hand (Foglio)","Fallen Empires","Near Mint","English","Normal"
"1260",2,"Hymn to Tourach (Wolf)","Fallen Empires","Near Mint","English","Normal"
"1261",1,"Hymn to Tourach (Cloak)","Fallen Empires","Near Mint","English","Normal"
"1262",1,"Hymn to Tourach (Circle)","Fallen Empires","Near Mint","English","Normal"
"1263",3,"Howl from Beyond","Revised Edition","Near Mint","English","Normal"
"1264",1,"Hoar Shade","Ice Age","Near Mint","English","Normal"
"1265",1,"Frozen Shade","Fifth Edition","Near Mint","English","Normal"
"1266",1,"Frozen Shade","Fourth Edition","Near Mint","English","Normal"
"1267",2,"Frozen Shade","Revised Edition","Near Mint","English","Normal"
"1268",1,"Fledgling Djinn","Weatherlight","Near Mint","English","Normal"
"1269",2,"Fear","Revised Edition","Near Mint","English","Normal"
"1270",1,"Erg Raiders","Revised Edition","Near Mint","English","Normal"
"1271",1,"Ebony Charm","Mirage","Near Mint","English","Normal"
"1272",1,"Drudge Skeletons","Fifth Edition","Near Mint","English","Normal"
"1273",1,"Drudge Skeletons","Revised Edition","Near Mint","English","Normal"
"1274",1,"Drain Life","Fourth Edition","Near Mint","English","Normal"
"1275",1,"Drain Life","Revised Edition","Near Mint","English","Normal"
"1276",1,"Desolation","Visions","Near Mint","English","Normal"
"1277",2,"Dark Ritual","Revised Edition","Near Mint","English","Normal"
"1278",1,"Cyclopean Mummy","Fourth Edition","Near Mint","English","Normal"
"1279",1,"Coils of the Medusa","Weatherlight","Near Mint","English","Normal"
"1280",1,"Coercion","Visions","Near Mint","English","Normal"
"1281",1,"Brine Shaman","Ice Age","Near Mint","English","Normal"
"1282",1,"Bog Wraith","Fourth Edition","Near Mint","English","Normal"
"1283",1,"Basal Thrull (P. Foglio)","Fallen Empires","Near Mint","English","Normal"
"1284",2,"Armor Thrull (Kirschner)","Fallen Empires","Near Mint","English","Normal"
"1285",1,"Armor Thrull","Fallen Empires","Near Mint","English","Normal"
"1286",1,"Giant Trap Door Spider","Ice Age","Near Mint","English","Normal"
"1287",1,"Squandered Resources","Visions","Near Mint","English","Normal"
"1288",2,"Basalt Monolith","Revised Edition","Heavily Played","English","Normal"
"1289",1,"Undiscovered Paradise","Visions","Near Mint","English","Normal"
"1290",1,"Strip Mine","Fourth Edition","Near Mint","English","Normal"
"1291",2,"Desolate Lighthouse","Ultimate Masters","Near Mint","English","Foil"
"1292",1,"Explosive Vegetation","Dragons of Tarkir","Near Mint","English","Foil"
"1293",3,"Human Cleric Token","Shadows Over Innistrad","Near Mint","English","Normal"
"1294",1,"Treasury Thrull","Prerelease Cards","Near Mint","English","Foil"
"1295",1,"Ramosian Revivalist","Future Sight","Near Mint","English","Foil"
"1296",1,"Jund Panorama","Shards of Alara","Near Mint","English","Foil"
"1297",1,"Crypt of the Eternals","Hour of Devastation","Near Mint","English","Foil"
"1298",1,"Frontier Bivouac","Khans of Tarkir","Near Mint","English","Foil"
"1299",1,"Lightning Bolt","Masters 25","Near Mint","English","Foil"
"1300",2,"Swamp (263 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1301",1,"Ethersworn Canonist","Modern Masters","Near Mint","English","Foil"
"1302",1,"Kuldotha Forgemaster","Scars of Mirrodin","Near Mint","English","Foil"
"1303",2,"Inquisition of Kozilek","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1304",2,"Forgotten Cave","Modern Horizons","Near Mint","English","Foil"
"1305",1,"Salvager of Ruin","Core Set 2020","Near Mint","English","Foil"
"1306",2,"Generous Gift","Modern Horizons","Near Mint","English","Foil"
"1307",2,"Once Upon a Time","Prerelease Cards","Near Mint","English","Foil"
"1308",2,"Once Upon a Time","Prerelease Cards","Near Mint","English","Foil"
"1309",1,"Arcbound Ravager","WMCQ Promo Cards","Near Mint","English","Foil"
"1310",1,"Blink of an Eye","Dominaria","Near Mint","English","Foil"
"1311",1,"Mikaeus, the Lunarch","From the Vault: Legends","Near Mint","English","Foil"
"1312",1,"Mirrodin's Core","Darksteel","Near Mint","English","Foil"
"1313",1,"Piston Sledge","Mirrodin Besieged","Near Mint","English","Foil"
"1314",1,"Disrupting Shoal","Ultimate Masters","Near Mint","English","Foil"
"1315",1,"Entomb","Ultimate Masters","Near Mint","English","Foil"
"1316",1,"Magma Jet","Theros","Near Mint","English","Foil"
"1317",1,"Scroll of the Masters","Fate Reforged","Near Mint","English","Foil"
"1318",2,"Forest (276)","Ixalan","Near Mint","English","Foil"
"1319",1,"Simic Keyrune","Gatecrash","Near Mint","English","Foil"
"1320",1,"Ravenous Intruder","Aether Revolt","Near Mint","English","Foil"
"1321",1,"Cathar's Shield","Eldritch Moon","Near Mint","English","Foil"
"1322",1,"Captain's Claws","Oath of the Gatewatch","Near Mint","English","Foil"
"1323",1,"Sigarda's Aid","Eldritch Moon","Near Mint","English","Foil"
"1324",1,"Treasure Map","Ixalan","Near Mint","English","Foil"
"1325",4,"Song of Freyalise","Dominaria","Near Mint","English","Foil"
"1326",1,"Umezawa's Jitte","From the Vault: Lore","Near Mint","English","Foil"
"1327",9,"Angel Token","Masters 25","Near Mint","English","Normal"
"1328",9,"Eldrazi Spawn Token (Tedin)","Modern Masters 2015 Edition","Near Mint","English","Normal"
"1329",1,"Secluded Steppe","Modern Horizons","Near Mint","English","Foil"
"1330",3,"Guardian Idol","Iconic Masters","Near Mint","English","Foil"
"1331",2,"Forgotten Cave","Modern Horizons","Near Mint","English","Foil"
"1332",1,"Vault of the Archangel","Dark Ascension","Near Mint","English","Foil"
"1333",1,"Colossus Hammer","Core Set 2020","Near Mint","English","Foil"
"1334",1,"Barricade Breaker","Aether Revolt","Near Mint","English","Foil"
"1335",1,"Sunscorched Desert","Amonkhet","Near Mint","English","Foil"
"1336",1,"Drownyard Temple","Prerelease Cards","Near Mint","English","Foil"
"1337",1,"Drana's Emissary","Battle for Zendikar","Near Mint","English","Foil"
"1338",1,"Bonehoard","Mirrodin Besieged","Near Mint","English","Foil"
"1339",1,"Spidersilk Net","Zendikar","Near Mint","English","Foil"
"1340",1,"Heir of Falkenrath","Shadows Over Innistrad","Near Mint","English","Foil"
"1341",1,"Skirsdag High Priest","Innistrad","Near Mint","English","Foil"
"1342",1,"Coat of Arms","Premium Deck Series: Slivers","Near Mint","English","Foil"
"1343",1,"Blood Crypt","Ravnica Allegiance","Near Mint","English","Foil"
"1344",1,"Karn's Bastion","Planeswalker Event Promos","Near Mint","English","Foil"
"1345",1,"Plains (263)","Ixalan","Near Mint","English","Foil"
"1346",1,"Puresteel Paladin","New Phyrexia","Near Mint","English","Foil"
"1347",1,"Mox Opal","Modern Masters 2015 Edition","Near Mint","English","Foil"
"1348",1,"Enlightened Tutor","Arena Promos","Near Mint","English","Foil"
"1349",1,"Krark-Clan Ironworks","Fifth Dawn","Slightly Played","English","Foil"
"1350",1,"Forest (279)","Ixalan","Near Mint","English","Foil"
"1351",1,"Karn, Scion of Urza","Dominaria","Near Mint","English","Foil"
"1352",1,"Vraska the Unseen","Duel Decks: Jace vs. Vraska","Near Mint","English","Foil"
"1353",1,"All Is Dust","Ultimate Masters","Near Mint","English","Foil"
"1354",1,"Sever the Bloodline","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1355",1,"Ray of Distortion","Odyssey","Near Mint","English","Foil"
"1356",1,"Conflagrate","Ultimate Masters","Near Mint","English","Foil"
"1357",1,"Brass Squire","Mirrodin Besieged","Near Mint","English","Foil"
"1358",5,"Bloodfell Caves","Eternal Masters","Near Mint","English","Foil"
"1359",1,"Young Pyromancer","Ultimate Masters","Near Mint","English","Foil"
"1360",1,"Foul Orchard","Core 2019","Near Mint","English","Foil"
"1361",1,"Painted Bluffs","Amonkhet","Near Mint","English","Foil"
"1362",3,"Orzhov Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1363",1,"Jungle Shrine","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1364",2,"Dimir Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1365",2,"Mountain (273)","Ixalan","Near Mint","English","Foil"
"1366",1,"Nahiri, Storm of Stone","Prerelease Cards","Near Mint","English","Foil"
"1367",4,"Azorius Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1368",1,"Ghalta, Primal Hunger","Prerelease Cards","Near Mint","English","Foil"
"1369",2,"Tranquil Cove","Eternal Masters","Near Mint","English","Foil"
"1370",3,"Thornwood Falls","Eternal Masters","Near Mint","English","Foil"
"1371",4,"Gruul Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1372",5,"Golgari Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1373",3,"Thermo-Alchemist","Ultimate Masters","Near Mint","English","Foil"
"1374",1,"Blood Divination","Core 2019","Near Mint","English","Foil"
"1375",2,"Dimir Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1376",1,"Arcane Sanctum","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1377",1,"Boros Signet","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1378",2,"Boros Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1379",1,"Makeshift Munitions","Ixalan","Near Mint","English","Foil"
"1380",4,"Swamp (268)","Ixalan","Near Mint","English","Foil"
"1381",1,"Forest (277)","Ixalan","Near Mint","English","Foil"
"1382",2,"Dunes of the Dead","Hour of Devastation","Near Mint","English","Foil"
"1383",2,"Lizard Token","Conspiracy: Take the Crown","Near Mint","English","Normal"
"1384",1,"Swamp (260 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1385",2,"Mountain (269 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1386",1,"Mountain (268 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1387",2,"Island (257 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1388",1,"Island (256 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1389",2,"Island (255 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1390",2,"Forest (273 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1391",2,"Plains (Full Art 250)","Amonkhet","Near Mint","English","Foil"
"1392",1,"Cruel Celebrant","War of the Spark","Near Mint","English","Foil"
"1393",1,"Bedevil","Ravnica Allegiance","Near Mint","Portuguese","Foil"
"1394",1,"Anointed Procession","Amonkhet","Near Mint","English","Foil"
"1395",1,"Reliquary Tower","Magic 2013","Near Mint","Portuguese","Foil"
"1396",1,"Energy Chamber","Fifth Dawn","Slightly Played","English","Foil"
"1397",1,"Sacred Foundry","Guilds of Ravnica","Near Mint","English","Foil"
"1398",1,"Sai of the Shinobi","Masters 25","Near Mint","English","Foil"
"1399",4,"Vampire Lacerator","Masters 25","Near Mint","English","Foil"
"1400",1,"Slayer's Plate","Shadows Over Innistrad","Near Mint","English","Foil"
"1401",4,"Broken Bond","Dominaria","Near Mint","English","Foil"
"1402",2,"Ingot Chewer","Ultimate Masters","Near Mint","English","Foil"
"1403",3,"Prophetic Prism","Masters 25","Near Mint","English","Foil"
"1404",1,"Forerunner of the Legion","Rivals of Ixalan","Near Mint","English","Foil"
"1405",1,"Blackblade Reforged","Dominaria","Near Mint","English","Foil"
"1406",1,"Karn, Silver Golem","From the Vault: Relics","Near Mint","English","Foil"
"1407",1,"Marsh Flats","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1408",1,"Hollow One","Hour of Devastation","Near Mint","English","Foil"
"1409",1,"Bloodlord of Vaasgoth","Prerelease Cards","Near Mint","English","Foil"
"1410",1,"Increasing Vengeance","Dark Ascension","Near Mint","English","Foil"
"1411",1,"Sea Gate Wreckage","Prerelease Cards","Near Mint","English","Foil"
"1412",1,"Spawning Bed","Battle for Zendikar","Near Mint","English","Foil"
"1413",1,"Warped Landscape","Shadows Over Innistrad","Near Mint","English","Foil"
"1414",1,"High Priest of Penance","Gatecrash","Near Mint","English","Foil"
"1415",1,"Boros Keyrune","Gatecrash","Near Mint","English","Foil"
"1416",1,"Malakir Cullblade","Magic Origins","Near Mint","English","Foil"
"1417",1,"Dark Deal","Fate Reforged","Near Mint","English","Foil"
"1418",4,"Broken Bond","Dominaria","Near Mint","English","Foil"
"1419",1,"Sea Gate Wreckage","Oath of the Gatewatch","Near Mint","English","Foil"
"1420",1,"Heap Doll","Ultimate Masters","Near Mint","English","Foil"
"1421",2,"Mishra's Factory","Eternal Masters","Near Mint","English","Foil"
"1422",2,"Jungle Hollow","Eternal Masters","Near Mint","English","Foil"
"1423",1,"Dismal Backwater","Eternal Masters","Near Mint","English","Foil"
"1424",1,"Quag Vampires","Magic: The Gathering—Conspiracy","Near Mint","English","Foil"
"1425",1,"Favorable Winds","Magic: The Gathering—Conspiracy","Near Mint","English","Foil"
"1426",1,"Explorer's Scope","Magic: The Gathering—Conspiracy","Near Mint","English","Foil"
"1427",1,"Trading Post","Magic 2014 Core Set","Near Mint","English","Foil"
"1428",2,"Palladium Myr","Iconic Masters","Near Mint","English","Foil"
"1429",6,"Mind Stone","Iconic Masters","Near Mint","English","Foil"
"1430",4,"Broken Bond","Dominaria","Near Mint","English","Foil"
"1431",3,"Wildfield Borderpost","Alara Reborn","Near Mint","English","Foil"
"1432",3,"Thermo-Alchemist","Ultimate Masters","Near Mint","English","Foil"
"1433",2,"Ingot Chewer","Ultimate Masters","Near Mint","English","Foil"
"1434",2,"Cultivate","Masters 25","Near Mint","English","Foil"
"1435",4,"Simic Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1436",1,"Selesnya Signet","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1437",2,"Rakdos Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1438",4,"Azorius Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1439",1,"Sunset Pyramid","Hour of Devastation","Near Mint","English","Foil"
"1440",1,"Inventors' Fair","Prerelease Cards","Near Mint","English","Foil"
"1441",1,"Semblance Anvil","Scars of Mirrodin","Slightly Played","English","Foil"
"1442",2,"Ashnod's Altar","Eternal Masters","Near Mint","English","Foil"
"1443",9,"Eldrazi Spawn Token (Tedin)","Modern Masters 2015 Edition","Near Mint","English","Normal"
"1444",2,"Boros Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1445",4,"Simic Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1446",1,"Ancient Tomb","Ultimate Masters","Near Mint","English","Foil"
"1447",2,"Naya Panorama","Shards of Alara","Near Mint","English","Foil"
"1448",5,"Bant Panorama","Shards of Alara","Near Mint","English","Foil"
"1449",4,"Esper Panorama","Shards of Alara","Near Mint","English","Foil"
"1450",1,"City's Blessing // Elemental Double-sided Token","FNM Promos","Near Mint","English","Foil"
"1451",1,"Unclaimed Territory","Ixalan","Near Mint","Chinese Simplified","Foil"
"1452",2,"Knight Token (2)","Dominaria","Near Mint","English","Normal"
"1453",4,"Esper Panorama","Shards of Alara","Near Mint","English","Foil"
"1454",1,"Permeating Mass","Eldritch Moon","Near Mint","English","Foil"
"1455",1,"Prototype Portal","Scars of Mirrodin","Near Mint","English","Foil"
"1456",1,"Trading Post","Magic 2013","Near Mint","English","Foil"
"1457",1,"Kozilek, Butcher of Truth","Ultimate Masters: Box Toppers","Near Mint","English","Foil"
"1458",1,"Gonti's Aether Heart","Aether Revolt","Near Mint","English","Foil"
"1459",1,"Trepanation Blade","Innistrad","Near Mint","English","Foil"
"1460",2,"Swamp (262 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1461",1,"Cathedral of War","Magic 2013","Near Mint","English","Foil"
"1462",1,"Whispersilk Cloak","Magic 2011","Near Mint","English","Foil"
"1463",4,"Song of Freyalise","Dominaria","Near Mint","English","Foil"
"1464",1,"Colossus of Akros","Theros","Near Mint","English","Foil"
"1465",4,"Swamp (268)","Ixalan","Near Mint","English","Foil"
"1466",6,"Mind Stone","Iconic Masters","Near Mint","English","Foil"
"1467",3,"Thermo-Alchemist","Eldritch Moon","Near Mint","English","Foil"
"1468",1,"Deathrender","Magic: The Gathering—Conspiracy","Near Mint","English","Foil"
"1469",2,"Forest (276)","Ixalan","Near Mint","English","Foil"
"1470",3,"Prophetic Prism","Masters 25","Near Mint","English","Foil"
"1471",1,"Legion Lieutenant","Rivals of Ixalan","Near Mint","English","Foil"
"1472",4,"Wind-Scarred Crag","Eternal Masters","Near Mint","English","Foil"
"1473",1,"Dread Statuary","Conspiracy: Take the Crown","Near Mint","English","Foil"
"1474",2,"Island (258 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1475",1,"Mountain (265 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1476",1,"Frantic Search","Ultimate Masters","Near Mint","English","Foil"
"1477",1,"Confessor","Odyssey","Slightly Played","English","Foil"
"1478",1,"Dark Supplicant","Legions","Slightly Played","English","Foil"
"1479",1,"Ancestor's Prophet","Onslaught","Slightly Played","English","Foil"
"1480",1,"Phyrexian Tower","Ultimate Masters","Near Mint","English","Foil"
"1481",1,"Vein Drinker","Shards of Alara","Near Mint","English","Foil"
"1482",1,"Slagwurm Armor","Mirrodin","Near Mint","English","Foil"
"1483",1,"Ulamog's Crusher","Ultimate Masters","Near Mint","English","Foil"
"1484",3,"Thermo-Alchemist","Ultimate Masters","Near Mint","English","Foil"
"1485",2,"Desolate Lighthouse","Ultimate Masters","Near Mint","English","Foil"
"1486",1,"Priest of the Wakening Sun","Ixalan","Near Mint","English","Foil"
"1487",1,"Mountain (272)","Ixalan","Near Mint","English","Foil"
"1488",1,"Fireshrieker","Magic 2014 Core Set","Slightly Played","English","Foil"
"1489",1,"Palladium Myr","Scars of Mirrodin","Near Mint","English","Foil"
"1490",1,"Diabolic Tutor","Magic 2011","Near Mint","English","Foil"
"1491",1,"Crucible of Worlds","Core 2019","Near Mint","English","Foil"
"1492",1,"Krosan Grip","Modern Masters","Near Mint","English","Foil"
"1493",1,"Path to Exile","Modern Masters","Near Mint","English","Foil"
"1494",1,"Obsessive Search","Torment","Near Mint","English","Foil"
"1495",1,"Thirsting Axe","Eldritch Moon","Near Mint","English","Foil"
"1496",1,"Perilous Voyage","Ixalan","Near Mint","English","Foil"
"1497",4,"Selesnya Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1498",4,"Azorius Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1499",4,"Simic Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1500",2,"Rakdos Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1501",1,"Shieldmage Elder","Onslaught","Near Mint","English","Foil"
"1502",1,"Flame Slash","Conspiracy: Take the Crown","Near Mint","English","Foil"
"1503",4,"Broken Bond","Dominaria","Near Mint","English","Foil"
"1504",1,"Vampire Nighthawk","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1505",1,"Olivia Voldaren","Innistrad","Moderately Played","English","Foil"
"1506",3,"Orzhov Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1507",1,"Oathsworn Vampire","Rivals of Ixalan","Near Mint","English","Foil"
"1508",1,"Bishop of the Bloodstained","Ixalan","Near Mint","English","Foil"
"1509",3,"Doom Blade","Magic 2011","Near Mint","English","Normal"
"1510",9,"Doom Blade","Magic 2010","Near Mint","English","Normal"
"1511",1,"Inspiring Cleric","Ixalan","Near Mint","English","Foil"
"1512",5,"Golgari Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1513",4,"Selesnya Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1514",3,"Izzet Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1515",2,"Plains (Full Art 250)","Amonkhet","Near Mint","English","Foil"
"1516",2,"Brainstorm","Masters 25","Near Mint","English","Foil"
"1517",1,"Swords to Plowshares","Masters 25","Near Mint","English","Foil"
"1518",1,"Traxos, Scourge of Kroog","Dominaria","Near Mint","English","Foil"
"1519",4,"Coiling Oracle","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1520",1,"Psychosis Crawler","Conspiracy: Take the Crown","Near Mint","English","Foil"
"1521",4,"Coiling Oracle","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1522",4,"Gruul Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1523",2,"Jungle Hollow","Eternal Masters","Near Mint","English","Foil"
"1524",1,"Mindless Automaton","Eternal Masters","Near Mint","English","Foil"
"1525",4,"Swiftwater Cliffs","Eternal Masters","Near Mint","English","Foil"
"1526",1,"Sorcerer's Wand","Dominaria","Near Mint","English","Foil"
"1527",1,"Victory Chimes","Battlebond","Near Mint","English","Foil"
"1528",1,"Submerged Boneyard","Core 2019","Near Mint","English","Foil"
"1529",8,"Serf Token","Eternal Masters","Near Mint","English","Normal"
"1530",1,"Desolation Twin","Battle for Zendikar","Near Mint","English","Foil"
"1531",1,"Helm of the Host","Dominaria","Near Mint","English","Foil"
"1532",1,"Tiana, Ship's Caretaker","Prerelease Cards","Near Mint","English","Foil"
"1533",2,"Tranquil Cove","Eternal Masters","Near Mint","English","Foil"
"1534",4,"Wind-Scarred Crag","Eternal Masters","Near Mint","English","Foil"
"1535",5,"Bloodfell Caves","Eternal Masters","Near Mint","English","Foil"
"1536",1,"Swords to Plowshares","Eternal Masters","Near Mint","English","Foil"
"1537",1,"Lodestone Myr","Modern Masters 2015 Edition","Near Mint","English","Foil"
"1538",8,"Serf Token","Eternal Masters","Near Mint","English","Normal"
"1539",1,"Ancient Tomb","From the Vault: Realms","Near Mint","English","Foil"
"1540",1,"Guildmages' Forum","Guilds of Ravnica","Near Mint","English","Foil"
"1541",1,"Pelt Collector","Guilds of Ravnica","Near Mint","English","Foil"
"1542",2,"Brainstorm","Masters 25","Near Mint","English","Foil"
"1543",9,"Angel Token","Masters 25","Near Mint","English","Normal"
"1544",2,"Swamp (263 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1545",8,"Serf Token","Eternal Masters","Near Mint","English","Normal"
"1546",1,"Island (267)","Ixalan","Near Mint","English","Foil"
"1547",1,"Plains (262)","Ixalan","Near Mint","English","Foil"
"1548",1,"Sigiled Sword of Valeron","Core 2019","Near Mint","English","Foil"
"1549",3,"Highland Lake","Core 2019","Near Mint","English","Foil"
"1550",2,"Treasure Keeper","Masters 25","Near Mint","English","Foil"
"1551",1,"Kor Spiritdancer","Battlebond","Near Mint","English","Foil"
"1552",1,"Diabolic Tutor","Magic 2012","Near Mint","English","Foil"
"1553",1,"Increasing Ambition","Dark Ascension","Near Mint","English","Foil"
"1554",1,"Endless Sands","Hour of Devastation","Near Mint","English","Foil"
"1555",2,"Treasure Keeper","Masters 25","Near Mint","English","Foil"
"1556",1,"Throne of Geth","Scars of Mirrodin","Heavily Played","English","Foil"
"1557",1,"Starlit Sanctum","Onslaught","Heavily Played","English","Foil"
"1558",2,"Cultivate","Masters 25","Near Mint","English","Foil"
"1559",1,"Stun Sniper","Alara Reborn","Near Mint","English","Foil"
"1560",1,"Desecrated Tomb","Launch Party & Release Event Promos","Near Mint","English","Foil"
"1561",3,"Orzhov Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1562",4,"Rugged Highlands","Eternal Masters","Near Mint","English","Foil"
"1563",4,"Simic Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1564",4,"Selesnya Guildgate","Modern Masters 2017 Edition","Near Mint","English","Foil"
"1565",1,"Mistvein Borderpost","Alara Reborn","Near Mint","English","Foil"
"1566",3,"Firewild Borderpost","Alara Reborn","Near Mint","English","Foil"
"1567",3,"Wildfield Borderpost","Alara Reborn","Near Mint","English","Foil"
"1568",2,"Fieldmist Borderpost","Alara Reborn","Near Mint","English","Foil"
"1569",3,"Highland Lake","Core 2019","Near Mint","English","Foil"
"1570",1,"Zealot il-Vec","Time Spiral","Near Mint","English","Foil"
"1571",1,"Bloodbond Vampire","Battle for Zendikar","Near Mint","English","Foil"
"1572",1,"Seal of Cleansing","Eternal Masters","Near Mint","English","Foil"
"1573",2,"Metalwork Colossus","Kaladesh","Near Mint","English","Foil"
"1574",1,"Island (2017 Gift Pack - Poole)","Gift Boxes and Promos","Near Mint","English","Foil"
"1575",1,"Heliod's Pilgrim","Magic 2015 Core Set","Near Mint","English","Foil"
"1576",1,"Banishing Light","FNM Promos","Near Mint","English","Foil"
"1577",3,"Highland Lake","Core 2019","Near Mint","English","Foil"
"1578",1,"Dusk Legion Zealot","Masters 25","Near Mint","English","Foil"
"1579",10,"Vampire (004) // Zombie (005) Double-sided Token","Commander 2017","Near Mint","English","Normal"
"1580",1,"Blood Host","Magic 2015 Core Set","Near Mint","English","Foil"
"1581",2,"Fieldmist Borderpost","Alara Reborn","Near Mint","English","Foil"
"1582",5,"Bant Panorama","Shards of Alara","Near Mint","English","Foil"
"1583",10,"Vampire (004) // Zombie (005) Double-sided Token","Commander 2017","Near Mint","English","Normal"
"1584",1,"Wonder","Eternal Masters","Near Mint","English","Foil"
"1585",1,"Walking Atlas","Worldwake","Near Mint","English","Foil"
"1586",4,"Vampire Lacerator","Masters 25","Near Mint","English","Foil"
"1587",9,"Angel Token","Masters 25","Near Mint","English","Normal"
"1588",1,"Priest of Urabrask","New Phyrexia","Near Mint","English","Foil"
"1589",1,"Rolling Thunder","Battle for Zendikar","Near Mint","English","Foil"
"1590",2,"Swamp (262 Full Art)","Battle for Zendikar","Near Mint","English","Foil"
"1591",1,"Indulgent Aristocrat","Shadows Over Innistrad","Near Mint","English","Foil"
"1592",1,"Guul Draz Overseer","Prerelease Cards","Near Mint","Chinese Simplified","Foil"
"1593",1,"Gruesome Slaughter","Prerelease Cards","Near Mint","Chinese Simplified","Foil"
"1594",1,"Avacyn's Judgment","Prerelease Cards","Near Mint","Chinese Simplified","Foil"
"1595",1,"Hour of Revelation","Prerelease Cards","Near Mint","Chinese Simplified","Foil"
"1596",1,"Steel Leaf Champion","Game Day Promos","Near Mint","English","Foil"
"1597",1,"Ratchet Bomb","Buy-A-Box Promos","Near Mint","English","Foil"
"1598",1,"Ratchet Bomb","Buy-A-Box Promos","Slightly Played","English","Foil"
"1599",1,"Noose Constrictor","FNM Promos","Near Mint","Chinese Simplified","Foil"
"1600",1,"Sin Collector","FNM Promos","Near Mint","Chinese Simplified","Foil"
