Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified
"9","9","Cancel","Amonkhet","Near Mint","English","","","2022-02-27 02:37:04.064800"
"4","4","Bonds of Quicksilver","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:04.019964"
"6","6","Aven Initiate","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.993935"
"3","3","Anticipate","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:03.977372"
"5","5","Ancient Crab","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.968602"
"14","14","Ancient Crab","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:03.931829"
"1","1","Air Servant","Welcome Deck 2016","Near Mint","English","","","2022-02-27 02:37:03.910420"
"1","1","Air Elemental","Welcome Deck 2017","Near Mint","English","","","2022-02-27 02:37:03.900889"
"7","7","Aether Tradewinds","Kaladesh","Near Mint","English","","","2022-02-27 02:37:03.890951"
"5","5","Aether Swooper","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:03.868821"
"3","3","Aerial Guide","Hour of Devastation","Near Mint","English","","","2022-02-27 02:37:03.848491"
"1","1","Aerial Formation","Journey into Nyx","Near Mint","English","","","2022-02-27 02:37:03.839613"
"2","2","Advanced Stitchwing","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:03.829251"
"5","5","Weirded Vampire","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:03.820611"
"7","7","Wasteland Scorpion","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.812311"
"2","2","Walking Corpse","Welcome Deck 2016","Near Mint","English","","","2022-02-27 02:37:03.795226"
"2","2","Vessel of Malignity","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.776696"
"8","8","Vampire Noble","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.767904"
"10","10","Untamed Hunger","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:03.733287"
"4","4","Unburden","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.724479"
"4","4","Twins of Maurer Estate","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.677952"
"3","3","Throttle","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.669220"
"7","7","Trespasser's Curse","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.660681"
"1","1","Tooth Collector","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.605850"
"3","3","Tidy Conclusion","Kaladesh","Near Mint","English","","","2022-02-27 02:37:03.595801"
"2","2","Throttle","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:03.578422"
"4","4","Thriving Rats","Kaladesh","Near Mint","English","","","2022-02-27 02:37:03.569520"
"11","11","Tar Snare","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:03.552473"
"1","1","Supernatural Stamina","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.543813"
"1","1","Succumb to Temptation","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:03.532975"
"2","2","Stromkirk Patrol","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:03.523868"
"4","4","Stromkirk Mentor","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.515225"
"3","3","Strange Augmentation","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:03.506504"
"4","4","Stallion of Ashmouth","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.497566"
"5","5","Splendid Agony","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.479025"
"5","5","Soulstinger","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.461603"
"4","4","Sludge Crawler","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:03.444687"
"3","3","Skirsdag Supplicant","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:03.436679"
"2","2","Sinister Concoction","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.428214"
"1","1","Shambling Goblin","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:03.420306"
"8","8","Scarab Feast","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.410911"
"4","4","Sanitarium Skeleton","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.392694"
"3","3","Rush of Vitality","Kaladesh","Near Mint","English","","","2022-02-27 02:37:03.366567"
"3","3","Rotting Mastodon","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:03.350139"
"4","4","Rottenheart Ghoul","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.341885"
"1","1","Rise from the Grave","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:03.323900"
"3","3","Renegade's Getaway","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:03.306183"
"4","4","Regicide","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:03.287879"
"7","7","Hulking Devil","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:07.106491"
"2","2","Howlpack Wolf","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:07.047729"
"1","1","Goblin Tunneler","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:07.031074"
"1","1","Goblin Racketeer","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:07.022631"
"3","3","Goblin Balloon Brigade","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:07.013491"
"6","6","Rancid Rats","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.263408"
"1","1","Raise Dead","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:03.237921"
"7","7","Prakhata Club Security","Kaladesh","Near Mint","English","","","2022-02-27 02:37:03.229205"
"5","5","Pitiless Vizier","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.221124"
"1","1","Groundbreaker","Planar Chaos","Near Mint","English","foil","","2022-02-27 02:37:00.789489"
"1","1","Mishra's Bauble","Iconic Masters","Near Mint","English","foil","","2022-02-27 02:37:00.770247"
"1","1","Radiant Fountain","Iconic Masters","Near Mint","English","foil","","2022-02-27 02:37:00.757689"
"1","1","Nekrataal","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:00.747130"
"1","1","Crucible of the Spirit Dragon","Fate Reforged","Near Mint","English","foil","","2022-02-27 02:37:00.737203"
"1","1","Emissary of the Sleepless","Shadows over Innistrad","Near Mint","English","foil","","2022-02-27 02:37:00.728558"
"1","1","Burn from Within","Shadows over Innistrad","Near Mint","English","foil","","2022-02-27 02:37:00.719363"
"1","1","Reduce to Ashes","Shadows over Innistrad","Near Mint","English","foil","","2022-02-27 02:37:00.708861"
"1","1","Midnight Entourage","Aether Revolt","Near Mint","English","foil","","2022-02-27 02:37:00.699181"
"2","2","Conviction","Aether Revolt","Near Mint","English","foil","","2022-02-27 02:37:00.689413"
"2","2","Ainok Artillerist","Dragons of Tarkir","Near Mint","English","foil","","2022-02-27 02:37:00.680974"
"1","1","Blighted Bat","Amonkhet","Near Mint","English","foil","","2022-02-27 02:37:00.672637"
"1","1","Spontaneous Artist","Kaladesh","Near Mint","English","foil","","2022-02-27 02:37:00.663198"
"1","1","Bonds of Quicksilver","Conspiracy: Take the Crown","Near Mint","English","foil","","2022-02-27 02:37:00.654919"
"1","1","Gibbering Fiend","Shadows over Innistrad","Near Mint","English","foil","","2022-02-27 02:37:00.645805"
"1","1","Makindi Patrol","Battle for Zendikar","Near Mint","English","foil","","2022-02-27 02:37:00.636640"
"1","1","Painful Truths","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:00.628282"
"1","1","Umara Entangler","Oath of the Gatewatch","Near Mint","English","foil","","2022-02-27 02:37:00.615593"
"1","1","Wee Dragonauts","Guildpact","Near Mint","English","","","2022-02-27 02:37:00.606841"
"2","2","Faith of the Devoted","Amonkhet","Near Mint","English","","","2022-02-27 02:37:00.577931"
"10","10","Dragon Token","Magic 2014 Core Set","Near Mint","English","","","2022-02-27 02:37:00.568877"
"2","2","Grixis Panorama","Shards of Alara","Near Mint","English","foil","","2022-02-27 02:37:00.550490"
"1","1","Darksteel Axe","Iconic Masters","Near Mint","English","foil","","2022-02-27 02:37:00.536003"
"1","1","Nephalia Academy","Eldritch Moon","Near Mint","English","foil","","2022-02-27 02:37:00.515935"
"1","1","Everflowing Chalice","Modern Masters 2015 Edition","Near Mint","English","foil","","2022-02-27 02:37:00.505737"
"1","1","Rosheen Meanderer","Iconic Masters","Near Mint","English","foil","","2022-02-27 02:37:00.491574"
"1","1","Shimmering Grotto","Iconic Masters","Near Mint","English","foil","","2022-02-27 02:37:00.482484"
"1","1","Manakin","Iconic Masters","Near Mint","English","foil","","2022-02-27 02:37:00.468396"
"3","3","Thoughtcast","Modern Masters 2015 Edition","Near Mint","English","foil","","2022-02-27 02:37:00.454586"
"1","1","Wight of Precinct Six","Gatecrash","Near Mint","English","foil","","2022-02-27 02:37:00.436505"
"4","4","Merrow Levitator","Eventide","Near Mint","English","","","2022-02-27 02:37:00.424736"
"1","1","Riptide Chimera","Journey into Nyx","Near Mint","English","foil","","2022-02-27 02:37:00.389240"
"3","3","Cryptolith Rite","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:00.373049"
"1","1","Prismatic Lens","Time Spiral ""Timeshifted""","Good (Lightly Played)","English","foil","","2022-02-27 02:37:00.344905"
"1","1","Ticking Gnomes","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:00.334183"
"1","1","Corrupted Crossroads","Oath of the Gatewatch","Near Mint","English","foil","","2022-02-27 02:37:00.321890"
"1","1","Awaken the Bear","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:00.311024"
"5","5","Atarka Beastbreaker","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:37:00.300743"
"1","1","Aspect of Hydra","Born of the Gods","Near Mint","English","","","2022-02-27 02:37:00.257228"
"3","3","Archers' Parapet","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:00.246966"
"4","4","Archers of Qarsi","Fate Reforged","Near Mint","English","","","2022-02-27 02:37:00.220987"
"1","1","Appetite for the Unnatural","Kaladesh","Near Mint","English","","","2022-02-27 02:37:00.183316"
"1","1","Ambush Krotiq","Fate Reforged","Near Mint","English","","","2022-02-27 02:37:00.173990"
"2","2","Ambuscade","Hour of Devastation","Near Mint","English","","","2022-02-27 02:37:00.164796"
"2","2","Alpine Grizzly","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:00.154606"
"1","1","Ainok Guide","Fate Reforged","Near Mint","English","","","2022-02-27 02:37:00.133941"
"2","2","Ainok Artillerist","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:37:00.122773"
"1","1","Agent of Horizons","Theros","Near Mint","English","","","2022-02-27 02:37:00.038713"
"10","10","Aerie Bowmasters","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:37:00.026647"
"5","5","Byway Courier","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:36:59.932203"
"6","6","Culling Mark","Born of the Gods","Near Mint","English","","","2022-02-27 02:36:59.849340"
"2","2","Conifer Strider","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:59.757043"
"4","4","Colossodon Yearling","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:59.728866"
"2","2","Charging Rhino","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:59.682648"
"5","5","Charging Badger","Born of the Gods","Near Mint","English","","","2022-02-27 02:36:59.663000"
"13","13","Canopy Gorger","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:59.618702"
"3","3","Druid's Deliverance","Return to Ravnica","Near Mint","English","","","2022-02-27 02:36:59.526323"
"5","5","Dragonscale Boon","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:36:59.495800"
"1","1","Desecration Plague","Journey into Nyx","Near Mint","English","","","2022-02-27 02:36:59.436196"
"2","2","Defend the Hearth","Theros","Near Mint","English","","","2022-02-27 02:36:59.427121"
"12","12","Elemental Uprising","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:59.376900"
"1","1","Frontier Mastodon","Fate Reforged","Near Mint","English","","","2022-02-27 02:36:59.293400"
"3","3","Formless Nurturing","Fate Reforged","Near Mint","English","","","2022-02-27 02:36:59.283503"
"3","3","Font of Fertility","Journey into Nyx","Near Mint","English","","","2022-02-27 02:36:59.238047"
"1","1","Feral Krushok","Fate Reforged","Near Mint","English","","","2022-02-27 02:36:59.227921"
"2","2","Feed the Clan","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:36:59.216123"
"8","8","Fade into Antiquity","Theros","Near Mint","English","","","2022-02-27 02:36:59.196381"
"4","4","Guardian Shield-Bearer","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:59.170520"
"1","1","Golden Hind","Journey into Nyx","Near Mint","English","","","2022-02-27 02:36:59.137873"
"5","5","Glade Watcher","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:59.128906"
"7","7","Hunt the Weak","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:59.059594"
"3","3","Hunter's Ambush","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:59.043199"
"2","2","Humbler of Mortals","Journey into Nyx","Near Mint","English","","","2022-02-27 02:36:58.971046"
"1","1","Omenspeaker","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:05.100387"
"3","3","Nimble Innovator","Kaladesh","Near Mint","English","","","2022-02-27 02:37:05.090822"
"11","11","Niblis of Dusk","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:05.070512"
"3","3","Highland Game","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:36:58.905693"
"4","4","Harrier Naga","Hour of Devastation","Near Mint","English","","","2022-02-27 02:36:58.872625"
"3","3","Invasive Species","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:58.850979"
"1","1","Smoke Teller","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:36:57.233762"
"5","5","Siege Wurm","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:57.224381"
"2","2","Sidewinder Naga","Hour of Devastation","Near Mint","English","","","2022-02-27 02:36:57.175899"
"3","3","Sheltered Aerie","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:57.167296"
"4","4","Shape the Sands","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:57.117329"
"2","2","Shaman of Spring","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:57.100680"
"7","7","Setessan Starbreaker","Born of the Gods","Near Mint","English","","","2022-02-27 02:36:57.075036"
"8","8","Setessan Oathsworn","Born of the Gods","Near Mint","English","","","2022-02-27 02:36:57.018104"
"3","3","Servant of the Scale","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:56.950410"
"4","4","Segmented Krotiq","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:56.920675"
"5","5","Scout the Borders","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:36:56.885891"
"13","13","Scion Summoner","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:56.852097"
"2","2","Savage Surge","Theros","Near Mint","English","","","2022-02-27 02:36:56.796240"
"9","9","Satyr Wayfinder","Born of the Gods","Near Mint","English","","","2022-02-27 02:36:56.751781"
"6","6","Satyr Grovedancer","Journey into Nyx","Near Mint","English","","","2022-02-27 02:36:56.669604"
"2","2","Sandsteppe Scavenger","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:56.614304"
"4","4","Sagu Archer","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:36:56.596862"
"10","10","Saddleback Lagac","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:56.542259"
"5","5","Tusked Colossodon","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:36:56.474389"
"1","1","Tukatongue Thallid","Modern Masters 2015 Edition","Near Mint","English","","","2022-02-27 02:36:56.435341"
"5","5","Tread Upon","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:56.424392"
"1","1","Titanic Growth","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:56.372452"
"2","2","Time to Feed","Theros","Near Mint","English","","","2022-02-27 02:36:56.361986"
"4","4","Temur Runemark","Fate Reforged","Near Mint","English","","","2022-02-27 02:36:56.266137"
"16","16","Tajuru Pathwarden","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:56.232696"
"1","1","Undergrowth Scavenger","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:56.145456"
"3","3","Vineweft","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:56.136690"
"8","8","Vines of the Recluse","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:56.110907"
"1","1","Vine Snare","Magic Origins","Near Mint","English","","","2022-02-27 02:36:56.068819"
"3","3","Verdant Haven","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:56.021459"
"5","5","Woolly Loxodon","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:36:55.995167"
"5","5","Whisperer of the Wilds","Fate Reforged","Near Mint","English","","","2022-02-27 02:36:55.913157"
"2","2","Bronze Sable","Theros","Near Mint","English","","","2022-02-27 02:36:55.759612"
"5","5","Bronze Sable","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:55.741844"
"6","6","Bone Saw","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:55.700232"
"5","5","Custodian of the Trove","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:55.649517"
"1","1","Dimir Cluestone","Dragon's Maze","Near Mint","English","","","2022-02-27 02:36:55.593772"
"2","2","Fleetfeather Sandals","Theros","Near Mint","English","","","2022-02-27 02:36:55.527443"
"5","5","Fireforger's Puzzleknot","Kaladesh","Near Mint","English","","","2022-02-27 02:36:55.505597"
"6","6","Field Creeper","Eldritch Moon","Near Mint","English","","","2022-02-27 02:36:55.495137"
"3","3","Pick the Brain","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.183986"
"3","3","Painful Lesson","Amonkhet","Near Mint","English","","","2022-02-27 02:37:03.167690"
"5","5","Olivia's Dragoon","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:03.139211"
"7","7","Night Market Lookout","Kaladesh","Near Mint","English","","","2022-02-27 02:37:03.113987"
"3","3","Night Market Aeronaut","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:03.096707"
"1","1","Keepsake Gorgon","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:03.079760"
"6","6","Murderous Compulsion","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.069371"
"1","1","Mind Rot","Welcome Deck 2016","Near Mint","English","","","2022-02-27 02:37:03.041121"
"2","2","Mind Rot","Kaladesh","Near Mint","English","","","2022-02-27 02:37:03.031972"
"10","10","Merciless Resolve","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:03.023292"
"1","1","Mausoleum Turnkey","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:02.979558"
"5","5","Maulfist Squad","Kaladesh","Near Mint","English","","","2022-02-27 02:37:02.970316"
"1","1","Markov Crusader","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:02.962489"
"2","2","Malakir Familiar","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:02.952849"
"5","5","Macabre Waltz","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.942519"
"7","7","Live Fast","Kaladesh","Near Mint","English","","","2022-02-27 02:37:02.921171"
"2","2","Lawless Broker","Kaladesh","Near Mint","English","","","2022-02-27 02:37:02.904440"
"10","10","Hound of the Farbogs","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.896069"
"3","3","Hagra Sharpshooter","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:02.858675"
"8","8","Grotesque Mutation","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.838459"
"3","3","Grim Guardian","Journey into Nyx","Near Mint","English","","","2022-02-27 02:37:02.805240"
"2","2","Graf Rats","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:02.797079"
"3","3","Ghoulsteed","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.779383"
"10","10","Ghoulcaller's Accomplice","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.753718"
"2","2","Geyserfield Stalker","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:02.727511"
"1","1","Gavony Unhallowed","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:02.717012"
"1","1","Fourth Bridge Prowler","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:02.707853"
"5","5","Foundry Screecher","Kaladesh","Near Mint","English","","","2022-02-27 02:37:02.698796"
"7","7","Fortuitous Find","Kaladesh","Near Mint","English","","","2022-02-27 02:37:02.690445"
"2","2","Fleshbag Marauder","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:02.673791"
"6","6","Final Reward","Amonkhet","Near Mint","English","","","2022-02-27 02:37:02.652391"
"5","5","Festering Mummy","Amonkhet","Near Mint","English","","","2022-02-27 02:37:02.626092"
"1","1","Festergloom","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:02.609566"
"3","3","Fen Hauler","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:02.600535"
"9","9","Farbog Revenant","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.591204"
"1","1","Farbog Boneflinger","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:02.555729"
"2","2","Essence Depleter","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:02.546288"
"3","3","Cursed Minotaur","Amonkhet","Near Mint","English","","","2022-02-27 02:37:02.537330"
"4","4","Culling Drone","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:02.528778"
"12","12","Crow of Dark Tidings","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.519942"
"2","2","Creeping Dread","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.474998"
"3","3","Certain Death","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:02.457646"
"4","4","Dutiful Return","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:02.448497"
"4","4","Dune Beetle","Amonkhet","Near Mint","English","","","2022-02-27 02:37:02.439855"
"7","7","Doomed Dissenter","Amonkhet","Near Mint","English","","","2022-02-27 02:37:02.429863"
"10","10","Die Young","Kaladesh","Near Mint","English","","","2022-02-27 02:37:02.402325"
"1","1","Diabolic Tutor","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:02.366922"
"7","7","Dhund Operative","Kaladesh","Near Mint","English","","","2022-02-27 02:37:02.356777"
"4","4","Demon's Grasp","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:02.347948"
"2","2","Defiant Salvager","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:02.330847"
"2","2","Death Wind","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:02.310938"
"1","1","Deadly Designs","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:02.292145"
"4","4","Dead Weight","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.282248"
"7","7","Daring Demolition","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:02.265395"
"7","7","Cartouche of Ambition","Amonkhet","Near Mint","English","","","2022-02-27 02:37:02.225957"
"1","1","Sengir Vampire","Welcome Deck 2016","Near Mint","English","","","2022-02-27 02:37:02.129897"
"5","5","Butcher's Glee","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:37:02.116970"
"5","5","Borrowed Malevolence","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:02.107844"
"4","4","Bone Splinters","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:02.070105"
"2","2","Bloodcrazed Hoplite","Journey into Nyx","Near Mint","English","","","2022-02-27 02:37:02.061142"
"1","1","Blood-Toll Harpy","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:02.048545"
"3","3","Blighted Bat","Amonkhet","Near Mint","English","","","2022-02-27 02:37:02.038270"
"2","2","Behind the Scenes","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:02.028412"
"7","7","Ambitious Aetherborn","Kaladesh","Near Mint","English","","","2022-02-27 02:37:02.008714"
"3","3","Altar's Reap","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:01.974543"
"6","6","Alms of the Vein","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:01.954530"
"7","7","Aether Poisoner","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:01.942949"
"2","2","Accursed Witch","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:01.919265"
"2","2","Rhonas the Indomitable","Amonkhet","Near Mint","English","foil","","2022-02-27 02:37:01.327778"
"4","4","Reverse Engineer","Friday Night Magic","Near Mint","English","foil","","2022-02-27 02:37:01.318218"
"1","1","Mage-Ring Network","Magic Origins","Near Mint","English","foil","","2022-02-27 02:37:01.279896"
"1","1","Foundry of the Consuls","Magic Origins","Near Mint","English","foil","","2022-02-27 02:37:01.270055"
"1","1","Silent Gravestone","Rivals of Ixalan","Near Mint","English","foil","","2022-02-27 02:37:01.260001"
"10","10","Gnome Token","Unstable","Near Mint","English","foil","","2022-02-27 02:37:01.093802"
"10","10","Goat Token","Unstable","Near Mint","English","foil","","2022-02-27 02:37:01.081999"
"2","2","Creeping Corrosion","Mirrodin Besieged","Near Mint","English","foil","","2022-02-27 02:37:00.868155"
"1","1","Blinkmoth Well","Mirrodin","Heavily Played","English","foil","","2022-02-27 02:37:00.858917"
"1","1","Urza's Factory","Time Spiral ""Timeshifted""","Near Mint","English","foil","","2022-02-27 02:37:00.848036"
"1","1","Impulse","From the Vault: Twenty","Near Mint","English","foil","","2022-02-27 02:37:00.838219"
"2","2","Gut Shot","Modern Masters 2015 Edition","Near Mint","English","foil","","2022-02-27 02:37:00.822956"
"1","1","Grim Captain's Call","Ixalan","Near Mint","English","foil","","2022-02-27 02:37:00.808647"
"1","1","Desert of the True","Hour of Devastation","Near Mint","English","foil","","2022-02-27 02:37:00.799569"
"2","2","Guardians of Meletis","Theros","Near Mint","English","","","2022-02-27 02:36:55.473663"
"2","2","Graven Abomination","Hour of Devastation","Near Mint","English","","","2022-02-27 02:36:55.450718"
"1","1","Necrobite","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:54.197826"
"2","2","Necrobite","Born of the Gods","Near Mint","English","","","2022-02-27 02:36:54.178382"
"2","2","Moaning Wall","Hour of Devastation","Near Mint","English","","","2022-02-27 02:36:54.125683"
"1","1","Mind Rot","Magic 2015 Core Set","Near Mint","English","","","2022-02-27 02:36:54.104409"
"3","3","Marshmist Titan","Born of the Gods","Near Mint","English","","","2022-02-27 02:36:54.029576"
"4","4","Marsh Hulk","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:36:54.008704"
"3","3","March of the Returned","Theros","Near Mint","English","","","2022-02-27 02:36:53.966553"
"3","3","Marauding Boneslasher","Hour of Devastation","Near Mint","English","","","2022-02-27 02:36:53.933339"
"2","2","Lurching Rotbeast","Hour of Devastation","Near Mint","English","","","2022-02-27 02:36:53.887225"
"1","1","Liliana's Indignation","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:36:53.859732"
"4","4","Lethal Sting","Hour of Devastation","Near Mint","English","","","2022-02-27 02:36:53.847745"
"14","14","Kozilek's Shrieker","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:53.827054"
"14","14","Kozilek's Translator","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:36:53.817016"
