"","Name","Edition","Condition","Language","Foil","Count"
"827","Blighted Bat","Amonkhet","Near Mint","English","",2
"828","Behind the Scenes","Shadows over Innistrad","Near Mint","English","",1
"829","Ambitious Aetherborn","Kaladesh","Near Mint","English","",1
"830","Altar's Reap","Conspiracy: Take the Crown","Near Mint","English","",1
"831","Alms of the Vein","Shadows over Innistrad","Near Mint","English","",1
"832","Aether Poisoner","Aether Revolt","Near Mint","English","",1
"833","Accursed Witch","Shadows over Innistrad","Near Mint","English","",1
"834","Rhonas the Indomitable","Amonkhet","Near Mint","English","foil",1
"835","Reverse Engineer","Friday Night Magic","Near Mint","English","foil",1
"836","Mage-Ring Network","Magic Origins","Near Mint","English","foil",1
"837","Foundry of the Consuls","Magic Origins","Near Mint","English","foil",1
"838","Silent Gravestone","Rivals of Ixalan","Near Mint","English","foil",1
"839","Gnome Token","Unstable","Near Mint","English","foil",1
"840","Goat Token","Unstable","Near Mint","English","foil",1
"841","Creeping Corrosion","Mirrodin Besieged","Near Mint","English","foil",1
"842","Blinkmoth Well","Mirrodin","Heavily Played","English","foil",1
"843","Urza's Factory","Time Spiral ""Timeshifted""","Near Mint","English","foil",1
"844","Impulse","From the Vault: Twenty","Near Mint","English","foil",1
"845","Gut Shot","Modern Masters 2015 Edition","Near Mint","English","foil",1
"846","Grim Captain's Call","Ixalan","Near Mint","English","foil",2
"847","Desert of the True","Hour of Devastation","Near Mint","English","foil",1
"848","Guardians of Meletis","Theros","Near Mint","English","",1
"849","Graven Abomination","Hour of Devastation","Near Mint","English","",1
"850","Necrobite","Magic 2015 Core Set","Near Mint","English","",2
"851","Necrobite","Born of the Gods","Near Mint","English","",2
"852","Moaning Wall","Hour of Devastation","Near Mint","English","",1
"853","Mind Rot","Magic 2015 Core Set","Near Mint","English","",2
"854","Marshmist Titan","Born of the Gods","Near Mint","English","",1
"855","Marsh Hulk","Dragons of Tarkir","Near Mint","English","",2
"856","March of the Returned","Theros","Near Mint","English","",1
"857","Marauding Boneslasher","Hour of Devastation","Near Mint","English","",1
"858","Lurching Rotbeast","Hour of Devastation","Near Mint","English","",1
"859","Liliana's Indignation","Shadows over Innistrad","Near Mint","English","",1
"860","Lethal Sting","Hour of Devastation","Near Mint","English","",1
"861","Kozilek's Shrieker","Oath of the Gatewatch","Near Mint","English","",1
"862","Kozilek's Translator","Oath of the Gatewatch","Near Mint","English","",1
"863","Hand of Silumgar","Dragons of Tarkir","Near Mint","English","",1
"864","Grisly Transformation","Born of the Gods","Near Mint","English","",1
"865","Grim Roustabout","Return to Ravnica","Near Mint","English","",2
"866","Gravepurge","Dragons of Tarkir","Near Mint","English","",1
"867","Forsaken Drifters","Born of the Gods","Near Mint","English","",1
"868","Font of Return","Journey into Nyx","Near Mint","English","",1
"869","Flesh to Dust","Magic 2015 Core Set","Near Mint","English","",1
"870","Fleshmad Steed","Theros","Near Mint","English","",1
"871","Flatten","Dragons of Tarkir","Near Mint","English","",1
"872","Festergloom","Magic 2015 Core Set","Near Mint","English","",2
"873","Felhide Minotaur","Theros","Near Mint","English","",1
"874","Feast of Dreams","Journey into Nyx","Near Mint","English","",2
"875","Eye Gouge","Born of the Gods","Near Mint","English","",2
"876","Eternal Thirst","Magic 2015 Core Set","Near Mint","English","",1
"877","Dutiful Attendant","Dragons of Tarkir","Near Mint","English","",1
"878","Duress","Dragons of Tarkir","Near Mint","English","",1
"879","Driver of the Dead","Conspiracy: Take the Crown","Near Mint","English","",1
"880","Dreadbringer Lampads","Journey into Nyx","Near Mint","English","",2
"881","Douse in Gloom","Fate Reforged","Near Mint","English","",1
"882","Disciple of Phenax","Theros","Near Mint","English","",1
"883","Defeat","Dragons of Tarkir","Near Mint","English","",2
"884","Cruel Feeding","Journey into Nyx","Near Mint","English","",2
"885","Crippling Blight","Magic 2015 Core Set","Near Mint","English","",2
"886","Covenant of Blood","Magic 2015 Core Set","Near Mint","English","",1
"887","Corpse Churn","Oath of the Gatewatch","Near Mint","English","",1
"888","Coat with Venom","Dragons of Tarkir","Near Mint","English","",1
"889","Child of Night","Magic 2015 Core Set","Near Mint","English","",1
"890","Cast into Darkness","Journey into Nyx","Near Mint","English","",2
"891","Carrion Crow","Magic 2015 Core Set","Near Mint","English","",1
"892","Boon of Erebos","Theros","Near Mint","English","",1
"893","Boon of Emrakul","Eldritch Moon","Near Mint","English","",1
"894","Blood-Toll Harpy","Theros","Near Mint","English","",1
"895","Blightsoil Druid","Eternal Masters","Near Mint","English","",2
"896","Black Cat","Magic 2015 Core Set","Near Mint","English","",1
"897","Asphodel Wanderer","Theros","Near Mint","English","",1
"898","Aspect of Gorgon","Journey into Nyx","Near Mint","English","",2
"899","Anointed Deacon","Ixalan","Near Mint","English","",1
"900","Kruphix's Insight","Journey into Nyx","Near Mint","English","",1
"901","Kin-Tree Warden","Khans of Tarkir","Near Mint","English","",1
"902","Kessig Dire Swine","Shadows over Innistrad","Near Mint","English","",1
"903","Karametra's Favor","Born of the Gods","Near Mint","English","",1
"904","Longshot Squad","Khans of Tarkir","Near Mint","English","",1
"905","Loam Larva","Oath of the Gatewatch","Near Mint","English","",1
"906","Loam Dryad","Shadows over Innistrad","Near Mint","English","",1
"907","Living Totem","Magic 2015 Core Set","Near Mint","English","",1
"908","Mortal's Resolve","Born of the Gods","Near Mint","English","",1
"909","Market Festival","Journey into Nyx","Near Mint","English","",1
"910","Map the Wastes","Fate Reforged","Near Mint","English","",1
"911","Nyxborn Wolf","Born of the Gods","Near Mint","English","",2
"912","Netcaster Spider","Oath of the Gatewatch","Near Mint","English","",2
"913","Netcaster Spider","Magic 2015 Core Set","Near Mint","English","",2
"914","Nessian Asp","Theros","Near Mint","English","",1
"915","Naturalize","Dragons of Tarkir","Near Mint","English","",2
"916","Naturalize","Khans of Tarkir","Near Mint","English","",1
"917","Naturalize","Magic 2015 Core Set","Near Mint","English","",1
"918","Oakheart Dryads","Journey into Nyx","Near Mint","English","",1
"919","Pulse of Murasa","Oath of the Gatewatch","Near Mint","English","",1
"920","Plummet","Magic 2015 Core Set","Near Mint","English","",2
"921","Pinion Feast","Dragons of Tarkir","Near Mint","English","",2
"922","Pheres-Band Tromper","Born of the Gods","Near Mint","English","",1
"923","Pheres-Band Centaurs","Theros","Near Mint","English","",1
"924","Runeclaw Bear","Magic 2015 Core Set","Near Mint","English","",1
"925","Rhonas's Stalwart","Hour of Devastation","Near Mint","English","",1
"926","Return to the Earth","Fate Reforged","Near Mint","English","",1
"927","Renowned Weaver","Journey into Nyx","Near Mint","English","",1
"928","Ravenous Leucrocota","Journey into Nyx","Near Mint","English","",1
"929","Ravenous Daggertooth","Ixalan","Near Mint","English","",1
"930","Ranger's Guile","Magic 2015 Core Set","Near Mint","English","",1
"931","Swordwise Centaur","Born of the Gods","Near Mint","English","",1
"932","Staunch-Hearted Warrior","Theros","Near Mint","English","",1
"933","Stampeding Elk Herd","Dragons of Tarkir","Near Mint","English","",2
"934","Stalking Drone","Oath of the Gatewatch","Near Mint","English","",1
"935","Snake of the Golden Grove","Born of the Gods","Near Mint","English","",1
"936","Accursed Spirit","Magic 2015 Core Set","Near Mint","English","",1
"937","Sky Scourer","Oath of the Gatewatch","Near Mint","English","",1
"938","Sip of Hemlock","Theros","Near Mint","English","",1
"939","Silumgar Butcher","Dragons of Tarkir","Near Mint","English","",2
"940","Sign in Blood","Magic 2015 Core Set","Near Mint","English","",1
"941","Sibsig Icebreakers","Dragons of Tarkir","Near Mint","English","",2
"942","Shambling Goblin","Dragons of Tarkir","Near Mint","English","",1
"943","Shamble Back","Shadows over Innistrad","Near Mint","English","",1
"944","Shadowcloak Vampire","Magic 2015 Core Set","Near Mint","English","",1
"945","Servant of Tymaret","Born of the Gods","Near Mint","English","",2
"946","Typhoid Rats","Fate Reforged","Near Mint","English","",1
"947","Typhoid Rats","Magic 2015 Core Set","Near Mint","English","",1
"948","Thraben Foulbloods","Eldritch Moon","Near Mint","English","",1
"949","Thornbow Archer","Magic Origins","Near Mint","English","",1
"950","Unnatural Endurance","Oath of the Gatewatch","Near Mint","English","",1
"951","Unmake the Graves","Magic 2015 Core Set","Near Mint","English","",2
"952","Vulturous Aven","Dragons of Tarkir","Near Mint","English","",1
"953","Vesper Ghoul","Dissension","Near Mint","English","",1
"954","Vampire Envoy","Oath of the Gatewatch","Near Mint","English","",1
"955","Witness the End","Oath of the Gatewatch","Near Mint","English","",1
"956","Witch's Familiar","Magic 2015 Core Set","Near Mint","English","",1
"957","Warchanter of Mogis","Born of the Gods","Near Mint","English","",2
"958","Wandering Tombshell","Dragons of Tarkir","Near Mint","English","",2
"959","Wake of Vultures","Eternal Masters","Near Mint","English","",1
"960","Zulaport Chainmage","Oath of the Gatewatch","Near Mint","English","",1
"961","Zof Shade","Magic 2015 Core Set","Near Mint","English","",1
"962","Augury Owl","Magic 2011","Near Mint","English","foil",1
"963","Human Wizard Token","Eldritch Moon","Near Mint","English","",1
"964","Spire of Industry","Aether Revolt","Near Mint","English","foil",1
"965","Goblin Assault","Shards of Alara","Near Mint","English","foil",1
"966","Flameblade Adept","Amonkhet","Near Mint","English","foil",1
"967","Drake Token","Amonkhet","Near Mint","English","",1
"968","Dragon Token","Eternal Masters","Near Mint","English","",1
"969","Izzet Boilerworks","Modern Masters 2015 Edition","Near Mint","English","foil",1
"970","Mizzium Mortars","Modern Masters 2017 Edition","Near Mint","English","foil",1
"971","Insect Token","Amonkhet","Near Mint","English","",1
"972","Contagion Clasp","Friday Night Magic","Near Mint","English","foil",1
"973","Wild Hunger","Dark Ascension","Near Mint","English","foil",1
"974","Izzet Cluestone","Dragon's Maze","Near Mint","English","foil",1
"975","Broken Concentration","Shadows over Innistrad","Near Mint","English","foil",1
"976","Yavimaya Enchantress","Eternal Masters","Near Mint","English","foil",2
"977","Civic Wayfinder","Eternal Masters","Near Mint","English","",1
"978","Abundant Growth","Eternal Masters","Near Mint","English","foil",1
"979","Seal of Strength","Eternal Masters","Near Mint","English","",1
"980","Calciderm","Eternal Masters","Near Mint","English","",1
"981","Monk Idealist","Eternal Masters","Near Mint","English","",1
"982","Kor Hookmaster","Eternal Masters","Near Mint","English","",1
"983","Roots","Eternal Masters","Near Mint","English","",1
"984","Thornweald Archer","Eternal Masters","Near Mint","English","",1
"985","Emperor Crocodile","Eternal Masters","Near Mint","English","",1
"986","Yavimaya Enchantress","Eternal Masters","Near Mint","English","",2
"987","Pacifism","Eternal Masters","Near Mint","English","foil",1
"988","Carnivore Token","Eternal Masters","Near Mint","English","",1
"989","Goblin Soldier Token","Eternal Masters","Near Mint","English","",1
"990","Spirit Token (White)","Eternal Masters","Near Mint","English","",1
"991","Spirit Token (Colorless)","Eternal Masters","Near Mint","English","",1
"992","Wurm Token","Eternal Masters","Near Mint","English","",1
"993","Wall Token","Eternal Masters","Near Mint","English","",1
"994","Elephant Token","Eternal Masters","Near Mint","English","",1
"995","Zombie Token","Eternal Masters","Near Mint","English","",1
"996","Soldier Token","Eternal Masters","Near Mint","English","",1
"997","Elf Warrior Token","Eternal Masters","Near Mint","English","",1
"998","Skulking Ghost","Eternal Masters","Near Mint","English","",1
"999","Deadbridge Shaman","Eternal Masters","Near Mint","English","",1
"1000","Blightsoil Druid","Eternal Masters","Near Mint","English","foil",2
"1001","Wakedancer","Eternal Masters","Near Mint","English","",2
"1002","Nature's Claim","Eternal Masters","Near Mint","English","foil",1
"1003","Prowling Pangolin","Eternal Masters","Near Mint","English","",1
"1004","Phyrexian Rager","Eternal Masters","Near Mint","English","",1
"1005","Wakedancer","Eternal Masters","Near Mint","English","foil",2
"1006","Honor-Worn Shaku","Champions of Kamigawa","Near Mint","English","foil",1
"1007","Bomat Courier","Kaladesh","Near Mint","English","foil",1
"1008","Set Adrift","Khans of Tarkir","Near Mint","English","foil",1
"1009","Unsubstantiate","Magic Game Day Cards","Near Mint","English","",1
"1010","Entropic Eidolon","Dissension","Near Mint","English","foil",1
"1011","Aurora Eidolon","Dissension","Near Mint","English","foil",1
"1012","Kozilek's Pathfinder","Oath of the Gatewatch","Near Mint","English","",1
"1013","Keeper of the Lens","Dragons of Tarkir","Near Mint","English","",1
"1014","Ornithopter","Magic 2015 Core Set","Near Mint","English","",2
"1015","Opaline Unicorn","Theros","Near Mint","English","",1
"1016","Pirate's Cutlass","Ixalan","Near Mint","English","",1
"1017","Runed Servitor","Conspiracy: Take the Crown","Near Mint","English","",1
"1018","Renegade Freighter","Kaladesh","Near Mint","English","",1
"1019","Spidersilk Net","Dragons of Tarkir","Near Mint","English","",1
"1020","Tyrant's Machine","Magic 2015 Core Set","Near Mint","English","",1
"1021","Traveler's Amulet","Hour of Devastation","Near Mint","English","",1
"1022","Traveler's Amulet","Theros","Near Mint","English","",1
"1023","Will-Forged Golem","Magic 2015 Core Set","Near Mint","English","",1
"1024","Warden of Geometries","Oath of the Gatewatch","Near Mint","English","",2
"1025","Rotted Hulk","Journey into Nyx","Near Mint","English","",1
"1026","Rotfeaster Maggot","Magic 2015 Core Set","Near Mint","English","",2
"1027","Returned Reveler","Journey into Nyx","Near Mint","English","",1
"1028","Returned Phalanx","Theros","Near Mint","English","",1
"1029","Reckless Imp","Dragons of Tarkir","Near Mint","English","",2
"1030","Reach of Shadows","Fate Reforged","Near Mint","English","",2
"1031","Rabid Bloodsucker","Magic Origins","Near Mint","English","",1
"1032","Queen's Bay Soldier","Ixalan","Near Mint","English","",1
"1033","Qarsi Sadist","Dragons of Tarkir","Near Mint","English","",1
"1034","Plagued Rusalka","Modern Masters 2015 Edition","Near Mint","English","",2
"1035","Pit Keeper","Modern Masters 2017 Edition","Near Mint","English","",1
"1036","Pharika's Cure","Theros","Near Mint","English","",1
"1037","Pharika's Chosen","Journey into Nyx","Near Mint","English","",1
"1038","Oblivion Strike","Oath of the Gatewatch","Near Mint","English","",1
"1039","Nyx Infusion","Journey into Nyx","Near Mint","English","",1
"1040","Necromancer's Assistant","Magic 2015 Core Set","Near Mint","English","",1
"1041","Glissa, the Traitor","From the Vault: Lore","Near Mint","English","foil",1
"1042","Astral Cornucopia","Born of the Gods","Near Mint","English","foil",1
"1043","Aethertide Whale","Aether Revolt","Near Mint","English","foil",1
"1044","Ironclad Slayer","Eldritch Moon","Near Mint","English","foil",1
"1045","Ulvenwald Mysteries","Shadows over Innistrad","Near Mint","English","foil",1
"1046","Cobbled Wings","Innistrad","Near Mint","English","foil",1
"1047","Mortuary Mire","Battle for Zendikar","Near Mint","English","foil",1
"1048","Shadowstorm Vizier","Amonkhet","Near Mint","English","foil",2
"1049","Steam Vents","Zendikar Expeditions","Near Mint","English","foil",1
"1050","Learn from the Past","Dragons of Tarkir","Near Mint","English","foil",1
"1051","Peema Outrider","Kaladesh","Near Mint","English","",1
"1052","Natural Connection","Battle for Zendikar","Near Mint","English","",1
"1053","Karplusan Strider","Modern Masters 2015 Edition","Near Mint","English","",2
"1054","Thriving Turtle","Kaladesh","Near Mint","English","foil",2
"1055","Unity of Purpose","Oath of the Gatewatch","Near Mint","English","",1
"1056","Spell Shrivel","Battle for Zendikar","Near Mint","English","",1
"1057","Rush of Ice","Battle for Zendikar","Near Mint","English","",1
"1058","Oracle of Dust","Battle for Zendikar","Near Mint","English","",2
"1059","Neurok Commando","Mirrodin Besieged","Near Mint","English","",1
"1060","Mist Intruder","Battle for Zendikar","Near Mint","English","",1
"1061","Aether Theorist","Kaladesh","Near Mint","English","",2
"1062","Relentless Hunter","Oath of the Gatewatch","Near Mint","English","",1
"1063","Herald of Kozilek","Battle for Zendikar","Near Mint","English","",1
"1064","Essence Backlash","Return to Ravnica","Near Mint","English","",1
"1065","Common Bond","Return to Ravnica","Near Mint","English","",1
"1066","Dukhara Scavenger","Kaladesh","Near Mint","English","",1
"1067","Anticipate","Battle for Zendikar","Near Mint","English","foil",2
"1068","Llanowar Elves","Eternal Masters","Near Mint","English","foil",1
"1069","Latulla's Orders","Prophecy","Good (Lightly Played)","English","foil",1
"1070","Stingscourger","Modern Masters","Near Mint","English","foil",1
"1071","Tar Pitcher","Modern Masters","Good (Lightly Played)","English","foil",1
"1072","Anarchist","Odyssey","Near Mint","English","foil",1
"1073","Universal Solvent","Aether Revolt","Near Mint","English","foil",2
"1074","Desperate Ravings","Eternal Masters","Near Mint","English","foil",1
"1075","Quicksmith Spy","Aether Revolt","Near Mint","English","foil",1
"1076","Kiln Fiend","Conspiracy: Take the Crown","Near Mint","English","foil",2
"1077","Skyswirl Harrier","Kaladesh","Near Mint","English","",1
"1078","Shoulder to Shoulder","Oath of the Gatewatch","Near Mint","English","",1
"1079","Searing Light","Oath of the Gatewatch","Near Mint","English","",1
"1080","Acrobatic Maneuver","Kaladesh","Near Mint","English","",1
"1081","Alabaster Wall","Mercadian Masques","Played","English","",1
"1082","Wayward Giant","Kaladesh","Near Mint","English","",1
"1083","Sweatworks Brawler","Aether Revolt","Near Mint","English","",1
"1084","Embraal Gear-Smasher","Aether Revolt","Near Mint","English","",1
"1085","Implement of Malice","Aether Revolt","Near Mint","English","",1
"1086","Shatterskull Recruit","Battle for Zendikar","Near Mint","English","",1
"1087","Reckless Cohort","Battle for Zendikar","Near Mint","English","",2
"1088","Maw of Kozilek","Oath of the Gatewatch","Near Mint","English","",1
"1089","Goblin Freerunner","Oath of the Gatewatch","Near Mint","English","",1
"1090","Consuming Sinkhole","Oath of the Gatewatch","Near Mint","English","",1
"1091","Woodweaver's Puzzleknot","Kaladesh","Near Mint","English","",1
"1092","Sultai Runemark","Fate Reforged","Near Mint","English","",1
"1093","Sultai Emissary","Fate Reforged","Near Mint","English","",1
"1094","Subtle Strike","Kaladesh","Near Mint","English","",1
"1095","Slaughter Drone","Oath of the Gatewatch","Near Mint","English","",2
"1096","Titan's Presence","Battle for Zendikar","Near Mint","English","",2
"1097","Sphere of the Suns","Modern Masters 2015 Edition","Near Mint","English","",2
"1098","Hedron Blade","Battle for Zendikar","Near Mint","English","",2
"1099","Chitinous Cloak","Oath of the Gatewatch","Near Mint","English","",1
"1100","Windrider Patrol","Battle for Zendikar","Near Mint","English","",1
"1101","Thought Harvester","Oath of the Gatewatch","Near Mint","English","",2
"1102","Roilmage's Trick","Battle for Zendikar","Near Mint","English","",1
"1103","Ruination Guide","Battle for Zendikar","Near Mint","English","",1
"1104","Prophet of Distortion","Oath of the Gatewatch","Near Mint","English","",1
"1105","Incubator Drone","Battle for Zendikar","Near Mint","English","",2
"1106","Halimar Tidecaller","Battle for Zendikar","Near Mint","English","",1
"1107","Cryptic Cruiser","Battle for Zendikar","Near Mint","English","",1
"1108","Brilliant Spectrum","Battle for Zendikar","Near Mint","English","",2
"1109","Benthic Infiltrator","Battle for Zendikar","Near Mint","English","",1
"1110","Adverse Conditions","Battle for Zendikar","Near Mint","English","",1
"1111","Tandem Tactics","Battle for Zendikar","Near Mint","English","",1
"1112","Stoneforge Acolyte","Oath of the Gatewatch","Near Mint","English","",1
"1113","Stone Haven Medic","Battle for Zendikar","Near Mint","English","",1
"1114","Steppe Glider","Oath of the Gatewatch","Near Mint","English","",1
"1115","Spawnbinder Mage","Oath of the Gatewatch","Near Mint","English","",1
"1116","Sheer Drop","Battle for Zendikar","Near Mint","English","",1
"1117","Shadow Glider","Battle for Zendikar","Near Mint","English","",2
"1118","Ondu Greathorn","Battle for Zendikar","Near Mint","English","",1
"1119","Ondu War Cleric","Oath of the Gatewatch","Near Mint","English","",1
"1120","Make a Stand","Oath of the Gatewatch","Near Mint","English","",1
"1121","Lithomancer's Focus","Battle for Zendikar","Near Mint","English","",2
"1122","Kor Sky Climber","Oath of the Gatewatch","Near Mint","English","",1
"1123","Kor Scythemaster","Oath of the Gatewatch","Near Mint","English","",1
"1124","Kor Castigator","Battle for Zendikar","Near Mint","English","",1
"1125","Ghostly Sentinel","Battle for Zendikar","Near Mint","English","",2
"1126","Felidar Cub","Battle for Zendikar","Near Mint","English","",1
"1127","Encircling Fissure","Battle for Zendikar","Near Mint","English","",1
"1128","Expedition Raptor","Oath of the Gatewatch","Near Mint","English","",1
"1129","Dazzling Reflection","Oath of the Gatewatch","Near Mint","English","",1
"1130","Weapons Trainer","Oath of the Gatewatch","Near Mint","English","",1
"1131","Void Grafter","Oath of the Gatewatch","Near Mint","English","",1
"1132","Skyrider Elf","Battle for Zendikar","Near Mint","English","",1
"1133","Resolute Blademaster","Battle for Zendikar","Near Mint","English","",1
"1134","Joraga Auxiliary","Oath of the Gatewatch","Near Mint","English","",1
"1135","Grove Rumbler","Battle for Zendikar","Near Mint","English","",1
"1136","Thunderous Wrath","Modern Masters 2017 Edition","Near Mint","English","foil",1
"1137","Sin Prodder","Shadows over Innistrad","Near Mint","English","foil",1
"1138","Kor Duelist","Modern Masters 2015 Edition","Near Mint","English","foil",1
"1139","Fledgling Mawcor","Time Spiral ""Timeshifted""","Near Mint","English","foil",1
"1140","Eyes of the Watcher","Fifth Dawn","Near Mint","English","foil",1
"1141","Thrummingbird","Modern Masters 2015 Edition","Near Mint","English","foil",1
"1142","Abrade","Hour of Devastation","Near Mint","English","foil",1
"1143","Highland Lake","Shadows over Innistrad","Near Mint","English","foil",2
"1144","Stoneforge Masterwork","Oath of the Gatewatch","Near Mint","English","foil",1
"1145","Glint-Nest Crane","Kaladesh","Near Mint","English","foil",1
"1146","Hypersonic Dragon","Return to Ravnica","Near Mint","English","foil",1
"1147","Throne of the God-Pharaoh","Prerelease Events","Near Mint","English","foil",1
"1148","Scavenger Grounds","Hour of Devastation","Near Mint","English","foil",1
"1149","Damping Matrix","Modern Masters 2017 Edition","Near Mint","English","foil",1
"1150","Spellstutter Sprite","Modern Masters","Near Mint","English","foil",1
"1151","Manalith","Hour of Devastation","Near Mint","English","foil",1
"1152","Hope Tender","Hour of Devastation","Near Mint","English","foil",2
"1153","Warrior Token","Amonkhet","Near Mint","English","",1
"1154","Gruul Signet","Modern Masters 2017 Edition","Near Mint","English","foil",1
"1155","Vithian Stinger","Modern Masters 2017 Edition","Near Mint","English","foil",1
"1156","Wee Dragonauts","Eternal Masters","Near Mint","English","foil",1
"1157","Oath of Jace","Oath of the Gatewatch","Near Mint","English","foil",1
"1158","Wurm's Tooth","Magic 2011","Near Mint","English","",1
"1159","Weatherseed Totem","Time Spiral ""Timeshifted""","Near Mint","English","",1
"1160","Warlord's Axe","Magic 2011","Near Mint","English","",1
"1161","Viridian Claw","Mirrodin Besieged","Near Mint","English","",1
"1162","Vessel of Endless Rest","Avacyn Restored","Near Mint","English","",2
"1163","Trigon of Thought","Scars of Mirrodin","Near Mint","English","",2
"1164","Trigon of Rage","Scars of Mirrodin","Near Mint","English","",1
"1165","Training Drone","Mirrodin Besieged","Near Mint","English","",1
"1166","Tower Gargoyle","Shards of Alara","Near Mint","English","",2
"1167","Thunder Totem","Time Spiral ""Timeshifted""","Near Mint","English","",1
"1168","Terrarion","Ravnica: City of Guilds","Near Mint","English","",1
"1169","Tangle Hulk","Mirrodin Besieged","Near Mint","English","",2
"1170","Synod Centurion","Archenemy","Near Mint","English","",1
"1171","Sylvok Replica","Scars of Mirrodin","Near Mint","English","",1
"1172","Strider Harness","Scars of Mirrodin","Near Mint","English","",2
"1173","Staff of the Sun Magus","Magic 2014 Core Set","Near Mint","English","",1
"1174","Spin Engine","Mirrodin Besieged","Near Mint","English","",1
"1175","Sphere of the Suns","Mirrodin Besieged","Near Mint","English","",1
"1176","Spawning Pit","Darksteel","Near Mint","English","",1
"1177","Snapsail Glider","Scars of Mirrodin","Near Mint","English","",1
"1178","Skinwing","Mirrodin Besieged","Near Mint","English","",1
"1179","Silverskin Armor","Mirrodin Besieged","Near Mint","English","",1
"1180","Shriekhorn","Mirrodin Besieged","Near Mint","English","",2
"1181","Saberclaw Golem","Scars of Mirrodin","Near Mint","English","",2
"1182","Rusted Slasher","Mirrodin Besieged","Near Mint","English","",1
"1183","Rod of Ruin","Magic 2014 Core Set","Near Mint","English","",2
"1184","Riot Gear","Gatecrash","Near Mint","English","",1
"1185","Razorfield Rhino","Mirrodin Besieged","Near Mint","English","",1
"1186","Razortip Whip","Gatecrash","Near Mint","English","",1
"1187","Razorfield Thresher","Scars of Mirrodin","Near Mint","English","",1
"1188","Razor Boomerang","Worldwake","Near Mint","English","",1
"1189","Primal Clay","Magic 2013","Near Mint","English","",1
"1190","Phyrexian Hulk","Magic 2013","Near Mint","English","",1
"1191","Millstone","Magic 2014 Core Set","Near Mint","English","foil",1
"1192","Kitesail","Magic 2013","Near Mint","English","",1
"1193","Juggernaut","Magic 2011","Near Mint","English","",1
"1194","Jayemdae Tome","Magic 2013","Near Mint","English","",1
"1195","Gem of Becoming","Magic 2013","Near Mint","English","",1
"1196","Scrap Trawler","Media Inserts","Near Mint","English","foil",1
"1197","Accomplished Automaton","Kaladesh","Near Mint","English","foil",2
"1198","Scrap Trawler","Aether Revolt","Near Mint","English","foil",1
"1199","Scute Mob","Zendikar","Near Mint","English","foil",1
"1200","Nest of Scarabs","Amonkhet","Near Mint","English","foil",1
"1201","Devout Witness","Mercadian Masques","Near Mint","English","foil",1
"1202","Skyship Plunderer","Aether Revolt","Near Mint","English","foil",1
"1203","Ghostly Changeling","Modern Masters 2015 Edition","Near Mint","English","foil",1
"1204","Raiders' Spoils","Khans of Tarkir","Near Mint","English","foil",1
"1205","Sickening Dreams","Premium Deck Series: Graveborn","Near Mint","English","foil",1
"1206","Strangling Soot","Time Spiral ""Timeshifted""","Near Mint","English","foil",1
"1207","Thrull Parasite","Gatecrash","Near Mint","English","foil",1
"1208","Kolaghan Monument","Dragons of Tarkir","Near Mint","English","foil",1
"1209","Orzhov Cluestone","Dragon's Maze","Near Mint","English","foil",1
"1210","Boros Cluestone","Dragon's Maze","Near Mint","English","foil",1
"1211","Alloy Myr","Modern Masters 2015 Edition","Good (Lightly Played)","English","foil",1
"1212","Zephyr Scribe","Dragons of Tarkir","Near Mint","English","",2
"1213","Welkin Tern","Magic 2015 Core Set","Near Mint","English","",1
"1214","Wavecrash Triton","Theros","Near Mint","English","",1
"1215","War-Wing Siren","Journey into Nyx","Near Mint","English","",1
"1216","Voyage's End","Theros","Near Mint","English","",1
"1217","Void Snare","Magic 2015 Core Set","Near Mint","English","",2
"1218","Vaporkin","Theros","Near Mint","English","",1
"1219","Updraft Elemental","Dragons of Tarkir","Near Mint","English","",2
"1220","Research Assistant","Magic 2015 Core Set","Near Mint","English","",1
"1221","Reduce in Stature","Dragons of Tarkir","Near Mint","English","",1
"1222","Prescient Chimera","Theros","Near Mint","English","",2
"1223","Pieces of the Puzzle","Shadows over Innistrad","Near Mint","English","",2
"1224","Peel from Reality","Magic 2015 Core Set","Near Mint","English","",2
"1225","Palace Familiar","Dragons of Tarkir","Near Mint","English","",1
"1226","Omenspeaker","Duel Decks: Elspeth vs. Kiora","Near Mint","English","",1
"1227","Ojutai's Summons","Dragons of Tarkir","Near Mint","English","",2
"1228","Ojutai Interceptor","Dragons of Tarkir","Near Mint","English","",1
"1229","Ojutai's Breath","Dragons of Tarkir","Near Mint","English","",1
"1230","Nyxborn Triton","Born of the Gods","Near Mint","English","",1
"1231","Nimbus of the Isles","Magic 2015 Core Set","Near Mint","English","",2
"1232","Nimbus Naiad","Theros","Near Mint","English","",1
"1233","Negate","Oath of the Gatewatch","Near Mint","English","",1
"1234","Negate","Magic 2015 Core Set","Near Mint","English","",1
"1235","Negate","Dragons of Tarkir","Near Mint","English","",1
"1236","Mystic Meditation","Dragons of Tarkir","Near Mint","English","",1
"1237","Monastery Loremaster","Dragons of Tarkir","Near Mint","English","",1
"1238","Mnemonic Wall","Theros","Near Mint","English","",1
"1239","Mind Sculpt","Magic 2015 Core Set","Near Mint","English","",1
"1240","Lost in a Labyrinth","Theros","Near Mint","English","",2
"1241","Invisibility","Magic 2015 Core Set","Near Mint","English","",1
